registry_id,doc_role,scope_track,include_status,normalized_title,source_rel_path,internal_path,source_format,issuing_org,issued_date,region,notes
DOC-BMK-003,benchmark_source,phase2,hold,EU Horizon Europe Strategic Plan 2025-2027,data/260312_해외 정책(원문).zip,EU_horizon europe strategic plan 2025-2027.pdf,pdf,European Commission,2024-03,EU,해외 비교용
DOC-BMK-004,benchmark_source,phase2,hold,미국 Genesis Mission,data/260312_해외 정책(원문).zip,미국_Genesis Mission_원문.pdf,pdf,미상,미상,US,해외 비교용
DOC-BMK-005,benchmark_source,phase2,hold,중국 제15차 5개년 규획 초안,data/260312_해외 정책(원문).zip,중국_제15차 5개년 규획_원문_초안.pdf,pdf,중국 정부,미상,CN,해외 비교용
DOC-BMK-006,benchmark_source,phase2,hold,일본 통합혁신전략 2025 원문,data/260312_해외 정책(원문).zip,일본_통합혁신전략2025_원문.pdf,pdf,일본 내각부,2025-06-06,JP,해외 비교용
DOC-CTX-001,context_note,support,support,기술분야 개요 국방,data/260313_기술분야 개요.zip,기술분야_개요_국방.pdf,pdf,미상,2026-03-13,KR,기술분야 설명 자료
DOC-CTX-002,context_note,support,support,기술분야 개요 사이버보안,data/260313_기술분야 개요.zip,기술분야_개요_사이버보안_편집.pdf,pdf,미상,2026-03-13,KR,기술분야 설명 자료
DOC-CTX-003,context_note,support,support,기술분야 개요 소재,data/260313_기술분야 개요.zip,기술분야_개요_소재.pdf,pdf,미상,2026-03-13,KR,기술분야 설명 자료
DOC-CTX-004,context_note,support,support,기술분야 개요 양자,data/260313_기술분야 개요.zip,기술분야_개요_양자.pdf,pdf,미상,2026-03-13,KR,기술분야 설명 자료
DOC-CTX-005,context_note,support,support,기술분야 개요 에너지,data/260313_기술분야 개요.zip,기술분야_개요_에너지.pdf,pdf,미상,2026-03-13,KR,기술분야 설명 자료
DOC-CTX-006,context_note,support,support,기술분야 개요 우주항공,data/260313_기술분야 개요.zip,기술분야_개요_우주항공.pdf,pdf,미상,2026-03-13,KR,기술분야 설명 자료
DOC-CTX-007,context_note,support,support,기술분야 개요 이차전지,data/260313_기술분야 개요.zip,기술분야_개요_이차전지.pdf,pdf,미상,2026-03-13,KR,기술분야 설명 자료
DOC-CTX-008,context_note,support,support,기술분야 개요 차세대통신,data/260313_기술분야 개요.zip,기술분야_개요_차세대통신.pdf,pdf,미상,2026-03-13,KR,기술분야 설명 자료
DOC-CTX-009,context_note,support,support,기술분야 개요 첨단모빌리티,data/260313_기술분야 개요.zip,기술분야_개요_첨단모빌리티.pdf,pdf,미상,2026-03-13,KR,기술분야 설명 자료
DOC-CTX-010,context_note,support,support,기술분야 개요 첨단바이오,data/260313_기술분야 개요.zip,기술분야_개요_첨단바이오.pdf,pdf,미상,2026-03-13,KR,기술분야 설명 자료
DOC-CTX-011,context_note,support,support,기술분야 개요 해양,data/260313_기술분야 개요.zip,기술분야_개요_해양.pdf,pdf,미상,2026-03-13,KR,기술분야 설명 자료
DOC-CTX-012,context_note,support,support,기술분야 개요 인공지능,data/2026-03-17_missing-context-raw-sources/DOC-CTX-012__pacst-68-4-page-208.pdf,,pdf,국가과학기술자문회의,2025-03-13,KR,"PACST 68-4 공식 PDF에서 해당 기술분야 섹션을 발췌한 source-backed raw context note; 2026-03-17 raw source replacement (page 208, section 인공지능)"
DOC-CTX-013,context_note,support,support,기술분야 개요 첨단로봇제조,data/2026-03-17_missing-context-raw-sources/DOC-CTX-013__pacst-68-4-page-235.pdf,,pdf,국가과학기술자문회의,2025-03-13,KR,"PACST 68-4 공식 PDF에서 해당 기술분야 섹션을 발췌한 source-backed raw context note; 2026-03-17 raw source replacement (page 235, section 첨단 로봇·제조)"
DOC-CTX-014,context_note,support,support,기술분야 개요 반도체디스플레이,data/2026-03-17_missing-context-raw-sources/DOC-CTX-014__pacst-68-4-page-232.pdf,,pdf,국가과학기술자문회의,2025-03-13,KR,"PACST 68-4 공식 PDF에서 해당 기술분야 섹션을 발췌한 source-backed raw context note; 2026-03-17 raw source replacement (page 232, section 반도체·디스플레이)"
