display_text_id,target_object_type,target_object_id,display_role,title_text,summary_text,description_text,generated_by,review_status,source_basis_type,notes
DSP-CNT-PIC-POL-002-04-01,policy_item_content,PIC-POL-002-04-01,policy_item_content_card,대학원-전문과정 융합 교육트랙,융합 교육트랙을 개설해 전문 인재를 양성한다.,대학원부터 전문과정까지 이어지는 AI-바이오 융합 교육트랙을 개설하고 산학 연계 프로그램을 운영한다.,manual_sample,reviewed,manual_sample,sample_pack_2026-03-14
DSP-GRP-PIG-POL-011-01,policy_item_group,PIG-POL-011-01,policy_item_group_card,AX 기획 컨설팅 및 가이드라인,부처 AX기획 초기 단계의 컨설팅과 가이드라인 제공을 묶은 대표 샘플,"AX자문단, AX가이드라인, AX사전 컨설팅을 하나의 기획 지원 패키지로 묶은 샘플 큐레이션이다.",manual_sample,reviewed,manual_sample,sample_pack_2026-03-14
DSP-CNT-PIC-POL-011-01-01,policy_item_content,PIC-POL-011-01-01,policy_item_content_card,부처 대상 AX 기획 컨설팅,AX 기획 단계의 컨설팅을 제공한다.,AX자문단과 사전 컨설팅(PoC)을 통해 부처와 전담기관의 AX 기획을 지원한다.,manual_sample,reviewed,manual_sample,sample_pack_2026-03-14
DSP-CNT-PIC-POL-011-01-02,policy_item_content,PIC-POL-011-01-02,policy_item_content_card,분야별 AX 가이드라인 제공,부처가 참고할 AX 가이드라인을 제공한다.,분야별 AX 성공사례와 기술 스택 정보를 담은 가이드라인을 마련해 AX사업 기획 참고자료로 제공한다.,manual_sample,reviewed,manual_sample,sample_pack_2026-03-14
DSP-GRP-PIG-POL-011-02,policy_item_group,PIG-POL-011-02,policy_item_group_card,공공 AX 실행 인프라 지원,"GPU, 데이터, 공통기반, 검증을 묶은 실행 지원 패키지",공공 AX 본사업에 필요한 자원 지원과 검증 체계를 대표 내용으로 묶은 샘플 큐레이션이다.,manual_sample,reviewed,manual_sample,sample_pack_2026-03-14
DSP-CNT-PIC-POL-011-02-01,policy_item_content,PIC-POL-011-02-01,policy_item_content_card,GPU·데이터·공통기반 지원,공공 AX 실행에 필요한 자원을 통합 지원한다.,"특화 AI모델 개발을 위한 GPU와 데이터, 범정부 AI공통기반을 함께 지원한다.",manual_sample,reviewed,manual_sample,sample_pack_2026-03-14
DSP-CNT-PIC-POL-011-02-02,policy_item_content,PIC-POL-011-02-02,policy_item_content_card,성능 검증 및 실증 지원,실증과 검증을 함께 지원한다.,현장 실증과 성능·신뢰성 검증을 지원해 AX사업 결과물의 품질을 높인다.,manual_sample,reviewed,manual_sample,sample_pack_2026-03-14
DSP-GRP-PIG-POL-011-03,policy_item_group,PIG-POL-011-03,policy_item_group_card,AX 원스톱 운영체계 및 국가 AX지도,운영 거버넌스와 국가 AX 현황 가시화를 함께 보여주는 인프라·제도 샘플,AX 원스톱 지원센터 운영과 국가 AX지도 구축을 하나의 운영체계로 묶은 샘플 큐레이션이다.,manual_sample,reviewed,manual_sample,sample_pack_2026-03-14
DSP-CNT-PIC-POL-011-03-01,policy_item_content,PIC-POL-011-03-01,policy_item_content_card,AX 원스톱 지원센터 운영,원스톱 운영체계를 구축한다.,AX 원스톱 지원센터와 공공AI사업지원센터를 운영해 부처별 AX사업 지원을 본격화한다.,manual_sample,reviewed,manual_sample,sample_pack_2026-03-14
DSP-CNT-PIC-POL-011-03-02,policy_item_content,PIC-POL-011-03-02,policy_item_content_card,국가 AX지도 구축,국가 AX 현황을 지도 형태로 제공한다.,"지역·분야별 AX 수요와 투자, 보유 자원을 종합 분석한 국가 AX지도를 구축해 민관 투자계획 수립에 활용한다.",manual_sample,reviewed,manual_sample,sample_pack_2026-03-14
DSP-GRP-PIG-POL-005-01,policy_item_group,PIG-POL-005-01,policy_item_group_card,K-NPU 성능 고도화 및 실증,독자 AI모델 연계 성능 고도화와 테스트베드·검증·사업화를 묶은 대표 샘플,AI반도체 전략에서 핵심 기술 고도화와 실증·사업화를 함께 묶은 샘플 큐레이션이다.,manual_sample,reviewed,manual_sample,sample_pack_2026-03-14
DSP-CNT-PIC-POL-005-01-01,policy_item_content,PIC-POL-005-01-01,policy_item_content_card,독자 AI모델 연계 성능 고도화,국산 NPU 성능을 독자 AI모델과 함께 고도화한다.,독자 AI모델과 국산 NPU의 연계성을 높여 최신 AI모델 맞춤형 성능을 확보한다.,manual_sample,reviewed,manual_sample,sample_pack_2026-03-14
DSP-CNT-PIC-POL-005-01-02,policy_item_content,PIC-POL-005-01-02,policy_item_content_card,테스트베드·검증·사업화 지원,K-NPU 테스트베드와 사업화 지원체계를 구축한다.,"대규모 K-NPU 테스트베드, 성과 검증, 실증·사업화 지원체계를 함께 구축한다.",manual_sample,reviewed,manual_sample,sample_pack_2026-03-14
DSP-GRP-PIG-POL-005-02,policy_item_group,PIG-POL-005-02,policy_item_group_card,AI반도체 금융·세제 지원,정책금융과 세제 인센티브를 함께 보여주는 인프라·제도 샘플,"초기 투자비용 지원, 직간접 투자, 대규모 투융자, 세액 공제를 한데 묶은 샘플 큐레이션이다.",manual_sample,reviewed,manual_sample,sample_pack_2026-03-14
DSP-CNT-PIC-POL-005-02-01,policy_item_content,PIC-POL-005-02-01,policy_item_content_card,정책금융 프로그램 제공,정책금융과 투자 프로그램을 패키지로 제공한다.,"수요-공급기업 지원, 직간접 투자, 성장 단계별 대규모 투·융자를 포함한 정책금융 프로그램을 제공한다.",manual_sample,reviewed,manual_sample,sample_pack_2026-03-14
DSP-CNT-PIC-POL-005-02-02,policy_item_content,PIC-POL-005-02-02,policy_item_content_card,세제 인센티브 제공,세제 인센티브로 수요기업 도입을 촉진한다.,NPU 기반 AI컴퓨팅 인프라·설비 투자에 대한 세액 공제를 통해 수요기업 도입 인센티브를 제공한다.,manual_sample,reviewed,manual_sample,sample_pack_2026-03-14
DSP-GRP-PIG-POL-005-03,policy_item_group,PIG-POL-005-03,policy_item_group_card,AI반도체 인재양성 체계,글로벌·고급 인재와 현장형 실무인재 양성을 함께 보여주는 인재 샘플,AI반도체 고급 인재와 실무형 인재 양성을 하나의 대표 항목으로 묶은 샘플 큐레이션이다.,manual_sample,reviewed,manual_sample,sample_pack_2026-03-14
DSP-CNT-PIC-POL-005-03-01,policy_item_content,PIC-POL-005-03-01,policy_item_content_card,글로벌·고급 인재 양성,글로벌 연계형 고급 인재를 양성한다.,글로벌 기업·대학 연계교육과 학·석사 연계과정을 통해 AI반도체 고급 인재를 양성한다.,manual_sample,reviewed,manual_sample,sample_pack_2026-03-14
DSP-CNT-PIC-POL-005-03-02,policy_item_content,PIC-POL-005-03-02,policy_item_content_card,현장형 실무인재 및 재교육,현장형 실무인재와 재직자 재교육을 함께 추진한다.,체험형 실습교육과 재직자 재교육을 통해 팹리스 현장형 설계 인력을 양성한다.,manual_sample,reviewed,manual_sample,sample_pack_2026-03-14
