tech_subdomain_id,tech_domain_id,tech_subdomain_label,source_basis,display_order,is_active
TSD-009-002,TD-009,첨단 패키징,DOC-TAX-001,2,1
TSD-009-003,TD-009,화합물·전력반도체,DOC-TAX-001,3,1
TSD-009-004,TD-009,차세대 디스플레이,DOC-TAX-001,4,1
TSD-009-005,TD-009,반도체·디스플레이 소부장,DOC-TAX-001,5,1
TSD-010-001,TD-010,양자컴퓨팅,DOC-TAX-001,1,1
TSD-010-002,TD-010,양자통신,DOC-TAX-001,2,1
TSD-010-003,TD-010,양자센서,DOC-TAX-001,3,1
TSD-010-004,TD-010,인프라/생태계,DOC-TAX-001,4,1
TSD-011-001,TD-011,바이오·의료기술,DOC-TAX-001,1,1
TSD-011-002,TD-011,의약품,DOC-TAX-001,2,1
TSD-011-003,TD-011,의료기기,DOC-TAX-001,3,1
TSD-011-004,TD-011,디지털바이오,DOC-TAX-001,4,1
TSD-011-005,TD-011,바이오 제조,DOC-TAX-001,5,1
TSD-011-006,TD-011,혁신생태계,DOC-TAX-001,6,1
TSD-012-001,TD-012,위성,DOC-TAX-001,1,1
TSD-012-002,TD-012,발사체,DOC-TAX-001,2,1
TSD-012-003,TD-012,우주탐사,DOC-TAX-001,3,1
TSD-012-004,TD-012,우주기반,DOC-TAX-001,4,1
TSD-012-005,TD-012,신항공,DOC-TAX-001,5,1
TSD-012-006,TD-012,항공부품,DOC-TAX-001,6,1
TSD-012-007,TD-012,항공기반,DOC-TAX-001,7,1
TSD-013-001,TD-013,친환경선박,DOC-TAX-001,1,1
TSD-013-002,TD-013,스마트 해상운송체계,DOC-TAX-001,2,1
TSD-013-003,TD-013,해양환경,DOC-TAX-001,3,1
TSD-013-004,TD-013,해양자원탐사·극지,DOC-TAX-001,4,1
TSD-014-001,TD-014,스마트 모빌리티,DOC-TAX-001,1,1
TSD-014-002,TD-014,친환경 모빌리티,DOC-TAX-001,2,1
TSD-014-003,TD-014,모빌리티 인프라,DOC-TAX-001,3,1
TSD-014-004,TD-014,모빌리티 서비스,DOC-TAX-001,4,1
