classification_seed_id,source_object_type,source_object_id,document_id,page_no,page_block_order,block_type,policy_item_candidate,suggested_resource_type,resource_type_keyword_hits,resource_type_confidence,primary_strategy_id,primary_strategy_label,secondary_strategy_ids,strategy_confidence,tech_domain_id,tech_domain_label,tech_subdomain_id,tech_subdomain_label,tech_domain_confidence,review_status,auto_suggestion_notes,reviewer_notes,text
CLS-SEED-DOC-POL-010-00012,paragraph_unit,PAR-DOC-POL-010-00012,DOC-POL-010,section2,12,bullet,yes,,,low,,,,,,,,,,review_required,,,"ㅇ (보상체계) 인건비 상승률 정체*로 민간과의 보수격차 심화, 개인 인센티브가 수탁규모에 연동되어 수탁의존 심화, 기관평가-보상 괴리"
CLS-SEED-DOC-POL-010-00013,paragraph_unit,PAR-DOC-POL-010-00013,DOC-POL-010,section2,13,note,review,,,low,,,,,,,,,,review_required,,,"* 10년간(’14~’24) 연평균 임금상승(처우개선)율 : 전체근로자 3.5%, 출연(연) 1.6%"
CLS-SEED-DOC-POL-010-00014,paragraph_unit,PAR-DOC-POL-010-00014,DOC-POL-010,section2,14,bullet,yes,talent,인력|연구자,high,,,,,,,,,,review_required,,,"ㅇ (연구환경) 연구지원인력 규모 미흡* 및 기관별 역량 상이, 연구회 기능 미비 등으로 연구자의 행정부담 가중"
CLS-SEED-DOC-POL-010-00015,paragraph_unit,PAR-DOC-POL-010-00015,DOC-POL-010,section2,15,note,review,talent,인력,medium,,,,,,,,,,review_required,,,"* 연구직 1명당 지원인력 수(명) : (NST) 0.5 / (獨, MPG) 1.3 / (佛, CNRS) 1.2 / (日, AIST) 0.96"
CLS-SEED-DOC-POL-010-00016,paragraph_unit,PAR-DOC-POL-010-00016,DOC-POL-010,section2,16,bullet,review,,,low,,,,,,,,,,review_required,,,□ 추진과제
CLS-SEED-DOC-POL-010-00017,paragraph_unit,PAR-DOC-POL-010-00017,DOC-POL-010,section2,17,bullet,yes,,,low,,,,,,,,,,review_required,,,ㅇ (전략1) 국가임무 수행체계 확립
CLS-SEED-DOC-POL-010-00018,paragraph_unit,PAR-DOC-POL-010-00018,DOC-POL-010,section2,18,bullet,yes,talent,인력|양성,high,,,,,,,,,,review_required,,,"- 출연(연) 본연의 기능과 역할을 바탕으로 전략기술 확보*, 난제 해결**, 정책지원·인력양성, 기업·지역역량 제고 등 국가적 임무 수행"
CLS-SEED-DOC-POL-010-00019,paragraph_unit,PAR-DOC-POL-010-00019,DOC-POL-010,section2,19,note,review,,,low,STR-002,초격차 전략기술 확보 (반도체·이차전지),,low,,,,,,review_required,primary_score=4,,"* 과학기술×AI, 반도체, 바이오 등 국가·산업을 주도할 전략기술 확보 및 연구인프라 지원"
CLS-SEED-DOC-POL-010-00020,paragraph_unit,PAR-DOC-POL-010-00020,DOC-POL-010,section2,20,note,review,,,low,,,,,,,,,,review_required,,,"** 교통, 의료, 재난안전 등 주요 경제·사회 분야별 난제 해결을 위한 기술적 솔루션 제공"
CLS-SEED-DOC-POL-010-00021,paragraph_unit,PAR-DOC-POL-010-00021,DOC-POL-010,section2,21,bullet,yes,,,low,,,,,,,,,,review_required,,,"- 기관출연금으로 인건비 전액 지원(PBS 단계적 폐지), 기관출연금을 기본연구사업(기관자체수요)과 전략연구사업(정부·기업수요)*으로 유형화"
CLS-SEED-DOC-POL-010-00022,paragraph_unit,PAR-DOC-POL-010-00022,DOC-POL-010,section2,22,note,review,infrastructure_policy,협의체,medium,,,,,,,,,,review_required,,,* 전략연구 추진을 위한 산-연-정 협의체 및 지원기구 신설
CLS-SEED-DOC-POL-010-00023,paragraph_unit,PAR-DOC-POL-010-00023,DOC-POL-010,section2,23,bullet,yes,,,low,,,,,,,,,,review_required,,,ㅇ (전략2) 성과중심 평가·보상체계 개편
CLS-SEED-DOC-POL-010-00024,paragraph_unit,PAR-DOC-POL-010-00024,DOC-POL-010,section2,24,bullet,yes,,,low,,,,,,,,,,review_required,,,- 계획 대비 달성도 중심 기관평가에서 대표성과 중심 평가*로 전환
CLS-SEED-DOC-POL-010-00025,paragraph_unit,PAR-DOC-POL-010-00025,DOC-POL-010,section2,25,note,review,,,low,,,,,,,,,,review_required,,,"* ’26년부터 기관운영평가, 연구사업평가로 이원화된 평가방식을 단일체계로 통합"
CLS-SEED-DOC-POL-010-00026,paragraph_unit,PAR-DOC-POL-010-00026,DOC-POL-010,section2,26,bullet,no,,,low,,,,,,,,,,review_required,auto_filtered=front_matter,,"- 평가에 연동되는 성과급·상여금* 신설, 기존 인센티브 재편"
CLS-SEED-DOC-POL-010-00027,paragraph_unit,PAR-DOC-POL-010-00027,DOC-POL-010,section2,27,note,review,,,low,,,,,,,,,,review_required,,,"* 전직원 대상 통합평가 성과급(’27년 신설 추진), 우수 연구진 대상 상여금(’26년 신설)"
CLS-SEED-DOC-POL-010-00028,paragraph_unit,PAR-DOC-POL-010-00028,DOC-POL-010,section2,28,bullet,yes,talent,인재|채용,high,,,,,,,,,,review_required,,,"- 처우개선, 특별채용 확대 등 우수인재 유치·확보 지속 추진"
CLS-SEED-DOC-POL-010-00029,paragraph_unit,PAR-DOC-POL-010-00029,DOC-POL-010,section2,29,bullet,yes,,,low,,,,,,,,,,review_required,,,ㅇ (전략3) 연구몰입을 지원하는 연구환경 조성
CLS-SEED-DOC-POL-010-00030,paragraph_unit,PAR-DOC-POL-010-00030,DOC-POL-010,section2,30,bullet,yes,infrastructure_policy,인프라,medium,,,,,,,,,,review_required,,,"- 연구행정 전문화, 전산인프라 통합 운영 추진"
CLS-SEED-DOC-POL-010-00031,paragraph_unit,PAR-DOC-POL-010-00031,DOC-POL-010,section2,31,bullet,yes,,,low,,,,,,,,,,review_required,,,"- 과기출연기관법 전부개정, 연구회 기능 정비 등 지원기반 내실화"
CLS-SEED-DOC-POL-010-00032,paragraph_unit,PAR-DOC-POL-010-00032,DOC-POL-010,section2,32,heading,no,,,low,,,,,,,,,,review_required,auto_filtered=front_matter,,Ⅳ. 기대효과 및 향후계획
CLS-SEED-DOC-POL-010-00033,paragraph_unit,PAR-DOC-POL-010-00033,DOC-POL-010,section2,33,bullet,no,,,low,,,,,,,,,,review_required,auto_filtered=front_matter,,□ 기대 효과
CLS-SEED-DOC-POL-010-00034,paragraph_unit,PAR-DOC-POL-010-00034,DOC-POL-010,section2,34,bullet,yes,,,low,,,,,,,,,,review_required,,,ㅇ 중장기·임무중심형 연구시스템 구축으로 국민체감 대형성과 창출
CLS-SEED-DOC-POL-010-00035,paragraph_unit,PAR-DOC-POL-010-00035,DOC-POL-010,section2,35,bullet,yes,,,low,,,,,,,,,,review_required,,,ㅇ 대학·기업과 차별화되는 연구환경 조성으로 우수연구자 확보
CLS-SEED-DOC-POL-010-00036,paragraph_unit,PAR-DOC-POL-010-00036,DOC-POL-010,section2,36,bullet,no,,,low,,,,,,,,,,review_required,auto_filtered=front_matter,,□ 향후계획
CLS-SEED-DOC-POL-010-00037,paragraph_unit,PAR-DOC-POL-010-00037,DOC-POL-010,section2,37,bullet,yes,infrastructure_policy,예산,medium,,,,,,,,,,review_required,,,"ㅇ 연도별 예산반영, 법령 및 규정 개정 등 차질없이 수행(’26년~)"
CLS-SEED-DOC-POL-010-00038,paragraph_unit,PAR-DOC-POL-010-00038,DOC-POL-010,section7,1,bullet,yes,,,low,,,,,TD-001,인공지능,,,high,review_required,tech_score=11,,"ㅇ (기술) 인공지능 기술의 발전이 경제·사회 전 영역의 패러다임 전환 촉진, 과학기술 분야에도 접목되어 R&D 패러다임 전환이 본격화"
CLS-SEED-DOC-POL-010-00039,paragraph_unit,PAR-DOC-POL-010-00039,DOC-POL-010,section7,2,bullet,yes,technology,개발,medium,,,,,,,,,,review_required,,,ㅇ (경제) 첨단기술이 국가 전략자산으로 기능하면서 기술 개발이 지체된 국가는 R&D 협력뿐만 아니라 안보 및 외교·통상에서도 소외
CLS-SEED-DOC-POL-010-00040,paragraph_unit,PAR-DOC-POL-010-00040,DOC-POL-010,section7,3,bullet,yes,,,low,,,,,,,,,,review_required,,,ㅇ (사회) 구조적인 저성장 고착화 우려 및 인구구조 고령화
CLS-SEED-DOC-POL-010-00041,paragraph_unit,PAR-DOC-POL-010-00041,DOC-POL-010,section7,4,bullet,yes,,,low,,,,,,,,,,review_required,,,"ㅇ 이러한 시대적 변화 속 출연(연)은 국가R&D의 중심축으로서 혁신과 변화를 선도하는 핵심 주체로서의 역할이 요구되나,"
CLS-SEED-DOC-POL-010-00042,paragraph_unit,PAR-DOC-POL-010-00042,DOC-POL-010,section7,5,bullet,yes,,,low,,,,,,,,,,review_required,,,- 대학·기업의 연구역량 성장과 대비되면서 출연(연)이 과거와 같은 대형 성과를 충분히 창출하지 못하고 있다는 인식에 직면
CLS-SEED-DOC-POL-010-00043,paragraph_unit,PAR-DOC-POL-010-00043,DOC-POL-010,section7,6,bullet,yes,,,low,,,,,,,,,,review_required,,,"ㅇ 이러한 출연(연)의 경쟁력 저하는 재정구조 뿐 아니라 평가, 환류, 연구환경 등 여러 구조적 문제가 누적된 결과"
CLS-SEED-DOC-POL-010-00044,paragraph_unit,PAR-DOC-POL-010-00044,DOC-POL-010,section7,7,bullet,yes,infrastructure_policy,제도,medium,,,,,,,,,,review_required,,,"ㅇ 연구과제중심제도(PBS)가 도입된 ’96년 이후 30년간 우리 경제는 5배, R&D 규모는 10배 이상 성장하여 추격국에서 선도국으로 도약"
CLS-SEED-DOC-POL-010-00045,paragraph_unit,PAR-DOC-POL-010-00045,DOC-POL-010,section7,8,bullet,yes,,,low,,,,,,,,,,review_required,,,- 출연(연) 또한 산·학·연 간 소모적 경쟁에서 탈피하여 혁신주체간 명확한 역할분담에 기반한 선도국형 R&D 체제로의 전환 필요
CLS-SEED-DOC-POL-010-00046,paragraph_unit,PAR-DOC-POL-010-00046,DOC-POL-010,section7,9,bullet,yes,,,low,,,,,,,,,,review_required,,,"ㅇ `66년 KIST 설립 이후, 출연연은 국가 R&D의 중심축으로서 우수한 연구진이 주축이 되어 국민체감 대형성과 창출"
CLS-SEED-DOC-POL-010-00047,paragraph_unit,PAR-DOC-POL-010-00047,DOC-POL-010,section7,10,paragraph,yes,,,low,,,,,,,,,,review_required,,,[ 시대별 대표성과 ]
CLS-SEED-DOC-POL-010-00048,paragraph_unit,PAR-DOC-POL-010-00048,DOC-POL-010,section7,11,bullet,yes,,,low,,,,,,,,,,review_required,,,"ㅇ 출연연이 기술분야별 주요 성과는 지속적으로 창출하고 있으나, 국민이 체감하는 대형성과는 저조하다는 지적"
CLS-SEED-DOC-POL-010-00049,paragraph_unit,PAR-DOC-POL-010-00049,DOC-POL-010,section7,12,bullet,yes,talent,인재,medium,,,,,,,,,,review_required,,,"ㅇ 매년 출연연을 떠나는 인재(연구직·행정직 등)가 증가하는 추세이며, 그 중 70~80%가 20·30대의 젊은 인재"
CLS-SEED-DOC-POL-010-00050,paragraph_unit,PAR-DOC-POL-010-00050,DOC-POL-010,section7,13,bullet,yes,infrastructure_policy,제도,medium,,,,,,,,,,review_required,,,ㅇ (PBS 부작용 심화) PBS(Project-Based System)는 인건비·연구비 등 재정지원을 기관 단위가 아닌 과제 단위의 경쟁체제로 운영·관리하는 제도로
CLS-SEED-DOC-POL-010-00051,paragraph_unit,PAR-DOC-POL-010-00051,DOC-POL-010,section7,14,bullet,yes,,,low,,,,,,,,,,review_required,,,"- 연구비 투명성 강화, 정적인 연구환경 탈피, 연구책임자 중심 운영 강화를 통해 출연(연)의 경쟁력을 높이는 취지로 도입되었으나,"
CLS-SEED-DOC-POL-010-00052,paragraph_unit,PAR-DOC-POL-010-00052,DOC-POL-010,section7,15,bullet,yes,infrastructure_policy,제도,medium,,,,,,,,,,review_required,,,- 수탁과제는 소액·다수*로 파편화되고 기관고유사업 또한 안정적으로 운영되는데 한계**가 있어 다음과 같이 PBS 제도의 부작용 심화
CLS-SEED-DOC-POL-010-00053,paragraph_unit,PAR-DOC-POL-010-00053,DOC-POL-010,section7,16,note,review,,,low,,,,,,,,,,review_required,,,* 25년(’99~’23)간 과제 수는 5배(1.4→7.2만 개) 증가 / 과제당 규모는 3억원 수준 정체(물가변동 고려)
CLS-SEED-DOC-POL-010-00054,paragraph_unit,PAR-DOC-POL-010-00054,DOC-POL-010,section7,17,note,review,,,low,,,,,,,,,,review_required,,,** 12년(’14~’25)간 23개 출연(연)의 주요사업비 변동률(±) 평균은 약 9.2%
CLS-SEED-DOC-POL-010-00055,paragraph_unit,PAR-DOC-POL-010-00055,DOC-POL-010,section7,18,heading,no,technology,확보,medium,,,,,,,,,,review_required,auto_filtered=front_matter,,① (고유임무·역할 상실) 운영비 확보를 위한 과제 수주가 우선시되며 수주가 용이한 주제 위주로 쏠림현상 심화 → 기관별 임무·역할 상실
CLS-SEED-DOC-POL-010-00056,paragraph_unit,PAR-DOC-POL-010-00056,DOC-POL-010,section7,19,bullet,yes,,,low,,,,,,,,,,review_required,,,- 또한 각 부처는 제각기 법령과 수탁과제를 통해 출연(연)에 임무를 부여*하나 체계적 관리 및 중장기적 재정 지원** 미흡
CLS-SEED-DOC-POL-010-00057,paragraph_unit,PAR-DOC-POL-010-00057,DOC-POL-010,section7,20,note,review,,,low,,,,,,,,,,review_required,,,"* 9개 부처에서 법령, 수탁과제 등을 통해 출연(연) 대상 90여개 임무 지정(’24.12월 기준)"
CLS-SEED-DOC-POL-010-00058,paragraph_unit,PAR-DOC-POL-010-00058,DOC-POL-010,section7,21,note,review,,,low,,,,,,,,,,review_required,,,** 임무지정 부처가 최초 사업비만 지원 후 운영비 미지원(=기관 출연금으로 부담 전가) 사례 다수
CLS-SEED-DOC-POL-010-00059,paragraph_unit,PAR-DOC-POL-010-00059,DOC-POL-010,section7,22,heading,no,,,low,,,,,,,,,,review_required,auto_filtered=front_matter,,② (중장기 집단연구 저하) 다수의 연구책임자 중심으로 기관이 운영→ 기관 내 집단연구 저해 및 기관경영-연구수행 간 괴리 발생
CLS-SEED-DOC-POL-010-00060,paragraph_unit,PAR-DOC-POL-010-00060,DOC-POL-010,section7,23,heading,no,,,low,,,,,,,,,,review_required,auto_filtered=front_matter,,③ (산학연 협력연구 저하) 산·학·연 모두가 유사한 과제 수주를 위해 경쟁 → 각 혁신주체 간 협력 및 역할분담에 한계
CLS-SEED-DOC-POL-010-00061,paragraph_unit,PAR-DOC-POL-010-00061,DOC-POL-010,section7,24,heading,no,,,low,,,,,,,,,,review_required,auto_filtered=front_matter,,"④ (연구자 연구몰입 저해) 인건비 확보를 위해 신규과제 수주 매몰 → 장기적 연구에 한계, 각종 계획서·보고서 작성 등 행정부담 가중"
CLS-SEED-DOC-POL-010-00062,paragraph_unit,PAR-DOC-POL-010-00062,DOC-POL-010,section7,25,bullet,yes,talent,인력,medium,,,,,,,,,,review_required,,,ㅇ (처우격차 심화) 공공기관 수준으로 인건비 상승률이 정체되어 민간과의 보수급여* 격차 심화 → 인력 유출 심화 및 유인 저하
CLS-SEED-DOC-POL-010-00063,paragraph_unit,PAR-DOC-POL-010-00063,DOC-POL-010,section7,26,note,review,,,low,,,,,,,,,,review_required,,,"* 10년간(’14~’24) 연평균 임금상승(처우개선)율 : 전체근로자 3.5%, 출연(연) 1.6%"
CLS-SEED-DOC-POL-010-00064,paragraph_unit,PAR-DOC-POL-010-00064,DOC-POL-010,section7,27,bullet,yes,technology,개발,medium,,,,,,,,,,review_required,,,"ㅇ (성과-보상 불일치) 주요 개인 인센티브(연구수당, 연구개발능률성과급)가 성과가 아닌 수탁규모에 연동 → 연구의욕 고취 미흡 및 수탁의존 심화"
CLS-SEED-DOC-POL-010-00065,paragraph_unit,PAR-DOC-POL-010-00065,DOC-POL-010,section7,28,paragraph,yes,,,low,,,,,,,,,,review_required,,,[ 개인대상 주요 인센티브 (급여·성과상여 제외) ]
CLS-SEED-DOC-POL-010-00066,paragraph_unit,PAR-DOC-POL-010-00066,DOC-POL-010,section7,29,bullet,yes,,,low,,,,,,,,,,review_required,,,- 기관평가에 따른 보상 또한 기관장만 대상*으로 하고 있어 개인의 성과창출 동기 결여 및 평가에 대한 무관심 유발
CLS-SEED-DOC-POL-010-00067,paragraph_unit,PAR-DOC-POL-010-00067,DOC-POL-010,section7,30,note,review,,,low,,,,,,,,,,review_required,,,"* ①기관장 성과연봉, ②기관장 재선임 요건과 연계 → 기관평가를 기관장평가로 왜곡 인식하게 하며 실무자들이 평가를 기피하게 만드는 요인으로 작용"
CLS-SEED-DOC-POL-010-00068,paragraph_unit,PAR-DOC-POL-010-00068,DOC-POL-010,section7,31,bullet,yes,talent,인력|연구자,high,,,,,,,,,,review_required,,,ㅇ (인력규모 미흡) 연구직 대비 연구지원인력 비율*이 해외 주요국에 비해 낮아 행정업무가 연구자에게 전가되는 경향 발생
CLS-SEED-DOC-POL-010-00069,paragraph_unit,PAR-DOC-POL-010-00069,DOC-POL-010,section7,32,note,review,talent,인력,medium,,,,,,,,,,review_required,,,"* 연구직 1명당 지원인력 수(명) : (NST) 0.5 / (獨, MPG) 1.3 / (佛, CNRS) 1.2 / (日, AIST) 0.96"
CLS-SEED-DOC-POL-010-00070,paragraph_unit,PAR-DOC-POL-010-00070,DOC-POL-010,section7,33,bullet,yes,talent,인력,medium,,,,,,,,,,review_required,,,- 연구책임자 중심 과제·인센티브 구조 형성 → 과제 수주 용이한 연구직 중심 증원 → 상대적으로 연구행정·근접지원인력 미충원
CLS-SEED-DOC-POL-010-00071,paragraph_unit,PAR-DOC-POL-010-00071,DOC-POL-010,section7,34,bullet,yes,,,low,,,,,,,,,,review_required,,,ㅇ (기관별 역량 상이) 기관별 규모와 정원이 상이하나 요구되는 역량*은 지속적으로 확대 → 작은 기관일수록 행정 전문성 축적에 한계
CLS-SEED-DOC-POL-010-00072,paragraph_unit,PAR-DOC-POL-010-00072,DOC-POL-010,section7,35,note,review,,,low,,,,,,,,,,review_required,,,"* 연구관리, 사업화, 정보보안·연구보안 등 행정 전 영역이 전문화"
CLS-SEED-DOC-POL-010-00073,paragraph_unit,PAR-DOC-POL-010-00073,DOC-POL-010,section7,36,bullet,yes,,,low,,,,,,,,,,review_required,,,ㅇ (연구회 기능 미비) 「과기출연기관법」에 따라 부여된 연구회의 책무와 역할에 비해 실제 연구회의 전략기획* 및 상호협력 지원 기능** 미비
CLS-SEED-DOC-POL-010-00074,paragraph_unit,PAR-DOC-POL-010-00074,DOC-POL-010,section7,37,note,review,,,low,,,,,,,,,,review_required,,,* 제21조(사업) 1. 연구 기획과 연구기관의 발전방향에 관한 기획
CLS-SEED-DOC-POL-010-00075,paragraph_unit,PAR-DOC-POL-010-00075,DOC-POL-010,section7,38,note,review,infrastructure_policy,예산,medium,,,,,,,,,,review_required,,,** 제19조(연구회의 책무) ① 연구회는 인사ㆍ예산ㆍ평가ㆍ사업관리 등에 있어 연구기관 공통의 애로 사항을 조사하고 이의 해결을 위하여 연구기관이 상호 협력할 수 있도록 지원하여야 한다.
CLS-SEED-DOC-POL-010-00076,paragraph_unit,PAR-DOC-POL-010-00076,DOC-POL-010,section7,39,bullet,yes,,,low,,,,,,,,,,review_required,,,- 그간 출연(연) 현장 애로사항에 대해 공통사항 발굴 및 우수사례 선정 등 정책제언 기능에 주력하였으나 실제 실행 기능은 미흡
CLS-SEED-DOC-POL-010-00077,paragraph_unit,PAR-DOC-POL-010-00077,DOC-POL-010,section7,40,bullet,yes,,,low,,,,,,,,,,review_required,,,- 또한 의사결정 기능(이사회 중심)과 집행 기능(사무기구 중심)이 명확히 구분되지 않아 연구회 역할 정립에 있어 혼선 발생
CLS-SEED-DOC-POL-010-00078,paragraph_unit,PAR-DOC-POL-010-00078,DOC-POL-010,section7,41,bullet,yes,,,low,,,,,,,,,,review_required,,,ㅇ (법률 정비 미비) 과기출연기관법 제정(`04년) 이후 정책·기술환경이 크게 변화했음에도 이를 반영한 법률 전반의 체제 정비는 미흡
CLS-SEED-DOC-POL-010-00079,paragraph_unit,PAR-DOC-POL-010-00079,DOC-POL-010,section7,42,bullet,yes,,,low,,,,,,,,,,review_required,,,"- 국회 등에서도 공공기관 지정해제 및 이에 따라 제정된 출연(연) 운영규정(훈령), 現 연구회 체제 등에 대한 법제적 정비 필요성 제기*"
CLS-SEED-DOC-POL-010-00080,paragraph_unit,PAR-DOC-POL-010-00080,DOC-POL-010,section7,43,note,review,,,low,,,,,,,,,,review_required,,,"* 「과기출연연 운영규정 제정의 의미와 과제」(입법조사처, `25.5월)"
CLS-SEED-DOC-POL-010-00081,paragraph_unit,PAR-DOC-POL-010-00081,DOC-POL-010,section7,44,bullet,yes,,,low,,,,,TD-006,사이버보안,TSD-006-006,위협·정책 대응,medium,review_required,tech_score=6; subdomain=TSD-006-006,,ㅇ (연구보안) 임무 중심 R&D를 수행하는 국가연구기관으로서 출연(연)이 보유한 핵심 전략기술 보호를 위한 연구보안 체계 강화 필요성 제기
CLS-SEED-DOC-POL-010-00082,paragraph_unit,PAR-DOC-POL-010-00082,DOC-POL-010,section7,45,bullet,yes,,,low,,,,,,,,,,review_required,,,"□ 실질적 성과를 창출하는 임무중심 연구, 전문성을 갖춘 연구행정 혁신으로 기술주도 성장을 선도하는 출연(연) 재도약"
CLS-SEED-DOC-POL-010-00083,paragraph_unit,PAR-DOC-POL-010-00083,DOC-POL-010,section7,46,bullet,yes,,,low,,,,,,,,,,review_required,,,ㅇ 국책연구기관의 특장점*을 살려 대학･기업과 차별화되는 ‘출연(연)만이 할 수 있는 국가적 임무’ 수행을 강화하고 PBS 폐지로 뒷받침
CLS-SEED-DOC-POL-010-00084,paragraph_unit,PAR-DOC-POL-010-00084,DOC-POL-010,section7,47,note,review,talent,인력|전문인력,high,,,,,,,,,,review_required,,,"* 1.6만명의 전문인력 및 60여년 축적된 연구인프라 보유, 장기간 집단연구 및 기술축적 특화"
CLS-SEED-DOC-POL-010-00085,paragraph_unit,PAR-DOC-POL-010-00085,DOC-POL-010,section7,48,bullet,yes,talent,연구자,medium,,,,,,,,,,review_required,,,ㅇ 연구를 잘하는 연구자가 더 많은 보상을 받고 신진 연구자들이 첫 일터로 출연(연)을 망설임 없이 선택할 수 있도록 평가･보상체계 개편
CLS-SEED-DOC-POL-010-00086,paragraph_unit,PAR-DOC-POL-010-00086,DOC-POL-010,section7,49,bullet,yes,talent,연구자,medium,,,,,,,,,,review_required,,,ㅇ 출연(연)은 전문적인 연구행정·지원 서비스를 제공하고 연구자는 연구와 성과에만 몰두하는 연구환경 조성
CLS-SEED-DOC-POL-010-00087,paragraph_unit,PAR-DOC-POL-010-00087,DOC-POL-010,section7,50,bullet,yes,,,low,STR-002,초격차 전략기술 확보 (반도체·이차전지),,low,TD-002,에너지,,,high,review_required,primary_score=4 | tech_score=11,,"ㅇ (전략기술 확보) AI, 반도체, 바이오, 에너지 등 국가·산업을 주도할 전략기술 확보 및 연구인프라 지원"
CLS-SEED-DOC-POL-010-00088,paragraph_unit,PAR-DOC-POL-010-00088,DOC-POL-010,section7,51,bullet,yes,technology,개발|확보,high,,,,,,,,,,review_required,,,"- (과학기술×AI) AI를 통해 과학기술 패러다임 전환을 가속화하도록 주요 분야별 특화모델 개발·확보, 연구데이터 공유·활용 촉진"
CLS-SEED-DOC-POL-010-00089,paragraph_unit,PAR-DOC-POL-010-00089,DOC-POL-010,section7,52,bullet,yes,technology,확보|실증,high,STR-002,초격차 전략기술 확보 (반도체·이차전지),,medium,TD-003,이차전지,,,high,review_required,primary_score=7 | tech_score=14,,"- (주력기술) 반도체, 이차전지 등 주력산업 경쟁력 강화를 위한 요소기술 확보 및 기업대상 실증시설 등 연구인프라 지원"
CLS-SEED-DOC-POL-010-00090,paragraph_unit,PAR-DOC-POL-010-00090,DOC-POL-010,section7,53,bullet,yes,technology,확보|원천기술,high,,,,,,,,,,review_required,,,"- (혁신기술) 바이오, 퀀텀 등 차세대 유망산업 주도권 확보를 위한 출연(연) 주도의 초격차 원천기술 확보에 주력"
CLS-SEED-DOC-POL-010-00091,paragraph_unit,PAR-DOC-POL-010-00091,DOC-POL-010,section7,54,bullet,yes,technology,개발|확보,high,STR-007,양자 정보통신 및 미래소재 선점,,low,TD-005,소재,,,high,review_required,primary_score=5 | tech_score=11,,"- (기반기술) 미래소재, 원자력, 핵융합 등 기반기술의 국가적 역량 확보를 위한 중장기 기술개발 수행 및 국가적 연구기반 구축"
