merge_candidate_id,candidate_role_draft,item_label_draft,item_statement_draft,primary_text,review_status,reviewer_decision,reviewer_role_override,reviewer_resource_type_override,reviewer_strategy_override,reviewer_tech_domain_override,reviewer_tech_subdomain_override,merge_into_candidate_id,split_required,final_item_label,final_item_statement,reviewer_notes
PMD-DOC-POL-005-0012,background_context,현장의견 연구자가 목표달성 실패를 걱정으로 안전한 연구만 수행,ㅇ 현장의견 연구자가 목표달성 실패를 걱정으로 안전한 연구만 수행,ㅇ 현장의견 연구자가 목표달성 실패를 걱정으로 안전한 연구만 수행,reviewed,attach_as_background,,,,,,,,,,starter attach problem context
PMD-DOC-POL-005-0013,policy_action,☞ 개선방향 도전-창의적 연구에만 몰입할 수 있도록 평가제도 혁신,☞ 개선방향 도전-창의적 연구에만 몰입할 수 있도록 평가제도 혁신,☞ 개선방향 도전-창의적 연구에만 몰입할 수 있도록 평가제도 혁신,reviewed,keep,,infrastructure_institutional,,,,,,평가제도 혁신,도전·창의 연구에만 몰입할 수 있도록 평가제도를 혁신한다.,starter keep concrete action
PMD-DOC-POL-005-0014,background_context,현장의견 연구자가 연구에 몰입하지 못하고 사전통제 중심 행정절차에 매몰,ㅇ 현장의견 연구자가 연구에 몰입하지 못하고 사전통제 중심 행정절차에 매몰,ㅇ 현장의견 연구자가 연구에 몰입하지 못하고 사전통제 중심 행정절차에 매몰,reviewed,attach_as_background,,,,,,,,,,starter attach problem context
PMD-DOC-POL-005-0016,policy_action,☞ 개선방향 연구지원체계를 기관 중심으로 전환하고 장비 공동활용-도입 제도 개선,☞ 개선방향 연구지원체계를 기관 중심으로 전환하고 장비 공동활용-도입 제도 개선,☞ 개선방향 연구지원체계를 기관 중심으로 전환하고 장비 공동활용-도입 제도 개선,reviewed,keep,,infrastructure_institutional,,,,,,연구지원체계 및 장비 공동활용 제도 개선,연구지원체계를 기관 중심으로 전환하고 장비 공동활용·도입 제도를 개선한다.,starter keep concrete action
PMD-DOC-POL-005-0017,meta_program_frame,출연연-대학-기업에 맞는 지원체계,- 출연연-대학-기업에 맞는 지원체계,- 출연연-대학-기업에 맞는 지원체계,reviewed,drop,,,,,,,,,,starter drop subsection header
PMD-DOC-POL-005-0018,background_context,현장의견 파편화된 재정구조,"ㅇ 현장의견 파편화된 재정구조, 우수인재 유입 약화로 국가적 임무 수행에 제한","ㅇ 현장의견 파편화된 재정구조, 우수인재 유입 약화로 국가적 임무 수행에 제한",reviewed,attach_as_background,,,,,,,,,,starter attach problem context
PMD-DOC-POL-005-0019,policy_action,☞ 개선방향 출연연 시스템을 임무중심으로 전환하고 연구자 처우-채용제도 개선,☞ 개선방향 출연연 시스템을 임무중심으로 전환하고 연구자 처우-채용제도 개선,☞ 개선방향 출연연 시스템을 임무중심으로 전환하고 연구자 처우-채용제도 개선,reviewed,keep,,talent,,,,,,출연연 임무중심 체계 전환 및 연구자 처우 개선,출연연 시스템을 임무 중심으로 전환하고 연구자 처우·채용 제도를 개선한다.,starter keep concrete action
PMD-DOC-POL-005-0021,problem_or_requirement,현장의견 공급자 중심 정책 지원으로,"ㅇ 현장의견 공급자 중심 정책 지원으로, 기업이 체감할 수 있는 혜택-지원 부재","ㅇ 현장의견 공급자 중심 정책 지원으로, 기업이 체감할 수 있는 혜택-지원 부재",reviewed,attach_as_background,,,,,,,,,,starter attach problem context
PMD-DOC-POL-005-0022,policy_action,☞ 개선방향 체감이 가능한 인센티브 도입 및 기업 역량에 따라 지원방식 다양화,☞ 개선방향 체감이 가능한 인센티브 도입 및 기업 역량에 따라 지원방식 다양화,☞ 개선방향 체감이 가능한 인센티브 도입 및 기업 역량에 따라 지원방식 다양화,reviewed,keep,,infrastructure_institutional,,,,,,체감형 인센티브 도입 및 기업 맞춤형 지원,기업이 체감할 수 있는 인센티브를 도입하고 기업 역량에 따라 지원 방식을 다양화한다.,starter keep concrete action
PMD-DOC-POL-005-0023,background_context,현장의견 재정 효율성 중심 투자시스템으로 인해 안정적이고 신속한 R&D 투자 제한,ㅇ 현장의견 재정 효율성 중심 투자시스템으로 인해 안정적이고 신속한 R&D 투자 제한,ㅇ 현장의견 재정 효율성 중심 투자시스템으로 인해 안정적이고 신속한 R&D 투자 제한,reviewed,attach_as_background,,,,,,,,,,starter attach problem context
PMD-DOC-POL-005-0024,policy_action,☞ 개선방향 충분한 R&D 투자 규모 확보 및 신속-유연한 투자체계로 전환,☞ 개선방향 충분한 R&D 투자 규모 확보 및 신속-유연한 투자체계로 전환,☞ 개선방향 충분한 R&D 투자 규모 확보 및 신속-유연한 투자체계로 전환,reviewed,keep,,infrastructure_institutional,,,,,,신속·유연한 R&D 투자체계 전환,충분한 R&D 투자 규모를 확보하고 신속·유연한 투자체계로 전환한다.,starter keep concrete action
PMD-DOC-POL-005-0026,problem_or_requirement,현장의견 축적된 연구성과-개발기술의 확산을 위한 체계적인 시스템 부재,ㅇ 현장의견 축적된 연구성과-개발기술의 확산을 위한 체계적인 시스템 부재,ㅇ 현장의견 축적된 연구성과-개발기술의 확산을 위한 체계적인 시스템 부재,reviewed,attach_as_background,,,,,,,,,,starter attach problem context
PMD-DOC-POL-005-0027,policy_action,☞ 개선방향 연구-개발성과가 시장으로,"☞ 개선방향 연구-개발성과가 시장으로, 연구데이터가 다음 연구로 이어지는 체계 구축","☞ 개선방향 연구-개발성과가 시장으로, 연구데이터가 다음 연구로 이어지는 체계 구축",reviewed,keep,,infrastructure_institutional,,,,,,연구성과 사업화 및 연구데이터 활용 체계 구축,연구·개발 성과의 사업화와 연구데이터의 후속 활용이 이어지는 체계를 구축한다.,starter keep concrete action
