decision_key,active_in_queue,policy_item_id,policy_id,policy_name,bucket_label,item_label,primary_evidence_id,evidence_preview,tech_domains,suggested_primary_strategy_id,suggested_primary_strategy_label,suggested_primary_strategy_score,alternate_strategy_ids,alternate_strategy_labels,alignment_exception_ids,alignment_exception_notes,auto_seed_blocked,decision_status,reviewed_primary_strategy_id,reviewed_secondary_strategy_ids,reviewed_confidence,reviewer_name,reviewer_notes
SRD-POL-001-0625b3b4d848,no,ITM-POL-001-00711,POL-001,123대 국정과제,인프라·제도,거점항만조성,DRV-PAR-DOC-POL-001-01035,"ㅇ (거점항만조성) 컨테이너·LNG·원유등북극화물별거점항만을육성하고, 부산항등을친환경·스마트항만으로조성및글로벌물류허브화추진",,STR-012,스마트 농업 및 수산업 기술,2,,,,,no,no_strategy,,,high,codex_manual_pol001_final,"거점항만 육성과 스마트항만 조성은 해양 물류 인프라 정책으로, 현재 15대 전략 중 단일 primary로 고정하기는 어렵다."
SRD-POL-001-44cb15cd92bc,no,ITM-POL-001-00014,POL-001,123대 국정과제,기술,4대강재자연화,DRV-PAR-DOC-POL-001-00857,"ㅇ (4대강재자연화) 시설별여건에맞춰4대강보개방및취·양수장개선 사업신속추진, 4대강보처리·운영에 대한논란종결",,STR-014,핵심 전략기술 자립 (LNG화물창·특수강),3,,,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,123대 국정과제의 총론·제도·지원 과제로서 15대 전략 primary를 직접 부여하기 어렵다.
SRD-POL-001-6609742658c6,no,ITM-POL-001-00055,POL-001,123대 국정과제,기술,R&D 혁신(기술역량) →DX·AX(생산성) →중견기업성장(BM혁신) 및글로벌화로...,DRV-PAR-DOC-POL-001-00689,ㅇ R&D 혁신(기술역량) →DX·AX(생산성) →중견기업성장(BM혁신) 및글로벌화로 이어지는선순환체계구축으로중소기업의성장모멘텀제고,,STR-001,AI G3 도약 및 전 산업 AX 확산,2,,,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,123대 국정과제의 총론·제도·지원 과제로서 15대 전략 primary를 직접 부여하기 어렵다.
SRD-POL-001-efb1ac6c525a,no,ITM-POL-001-00061,POL-001,123대 국정과제,기술,‘경제안보점검회의’ 정례화로통상·경제안보컨트롤타워가동,DRV-PAR-DOC-POL-001-00713,- ‘경제안보점검회의’ 정례화로통상·경제안보컨트롤타워가동,,STR-006,탄소중립 및 에너지 안보 (수소·SMR),2,,,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,경제안보·외교·공급망 거버넌스 성격으로 15대 전략 primary에 직접 귀속하지 않는다.
SRD-POL-001-159793020d91,no,ITM-POL-001-00072,POL-001,123대 국정과제,기술,▴｢ 동포기업-국내기업｣ 연계를 통한국내중소기업의해외진출지원 ▴글로벌한인네트워크강...,DRV-PAR-DOC-POL-001-02175,- ▴｢ 동포기업-국내기업｣ 연계를 통한국내중소기업의해외진출지원 ▴글로벌한인네트워크강화를위한재외동포와의소통플랫폼구축등,,STR-004,차세대 네트워크(6G) 및 지능형 인프라,2,,,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,123대 국정과제의 총론·제도·지원 과제로서 15대 전략 primary를 직접 부여하기 어렵다.
SRD-POL-001-da68b3d0d096,no,ITM-POL-001-00085,POL-001,123대 국정과제,기술,건강보험재정안정화,DRV-PAR-DOC-POL-001-01490,"ㅇ (건강보험재정안정화) 건강보험재정국고지원을확대하고, 보험료 부과체계를소득중심으로지속개편하여공정한부과기준확립",,STR-013,디지털 트윈 및 가상화 공정 혁신,2,,,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,보건의료 서비스·보상·전달체계 정비 성격으로 디지털헬스 기술전략의 직접 과제는 아니다.
SRD-POL-001-32b9cc6f874c,no,ITM-POL-001-00093,POL-001,123대 국정과제,기술,경영비부담완화,DRV-PAR-DOC-POL-001-01262,"ㅇ (경영비부담완화) 필수농자재가격상승정도에따른단계별지원체계구축, 공공형계절근로자운영기관확대(200개소) 등농업경영지원강화",,STR-012,스마트 농업 및 수산업 기술,2,,,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,123대 국정과제의 총론·제도·지원 과제로서 15대 전략 primary를 직접 부여하기 어렵다.
SRD-POL-001-cce63fb8f7ac,no,ITM-POL-001-00094,POL-001,123대 국정과제,기술,경제안보강화,DRV-PAR-DOC-POL-001-00733,"ㅇ 경제안보강화, 무역구조혁신으로경제위기를극복하고수출1조불기반마련",,STR-006,탄소중립 및 에너지 안보 (수소·SMR),2,,,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,경제안보·외교·공급망 거버넌스 성격으로 15대 전략 primary에 직접 귀속하지 않는다.
SRD-POL-001-8a0ad69f6612,no,ITM-POL-001-00095,POL-001,123대 국정과제,기술,경제안보대응체계를정비하고민관소통을강화하여,DRV-PAR-DOC-POL-001-02146,"ㅇ 경제안보대응체계를정비하고민관소통을강화하여, 해외발리스크가우리 경제·민생에끼치는피해를최소화하고국가경제의회복력과안정성제고",,STR-006,탄소중립 및 에너지 안보 (수소·SMR),2,STR-015,감염병 대응 및 공중보건 기술 자립,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,경제안보·외교·공급망 거버넌스 성격으로 15대 전략 primary에 직접 귀속하지 않는다.
SRD-POL-001-1a046a12cbc2,no,ITM-POL-001-00096,POL-001,123대 국정과제,기술,경제안보조정·통합기능강화및신흥·첨단기술분야과학기술외교적극 추진을 통해글로벌공급망재...,DRV-PAR-DOC-POL-001-02135,ㅇ 경제안보조정·통합기능강화및신흥·첨단기술분야과학기술외교적극 추진을 통해글로벌공급망재편등외부충격에 대한효과적대응기반마련,,STR-006,탄소중립 및 에너지 안보 (수소·SMR),2,STR-015,감염병 대응 및 공중보건 기술 자립,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,경제안보·외교·공급망 거버넌스 성격으로 15대 전략 primary에 직접 귀속하지 않는다.
SRD-POL-001-29bbd810fda9,no,ITM-POL-001-00101,POL-001,123대 국정과제,기술,계열사지원이없는독립·중소기업의공정한경쟁기반회복,DRV-PAR-DOC-POL-001-01178,ㅇ 계열사지원이없는독립·중소기업의공정한경쟁기반회복,,STR-013,디지털 트윈 및 가상화 공정 혁신,2,,,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,123대 국정과제의 총론·제도·지원 과제로서 15대 전략 primary를 직접 부여하기 어렵다.
SRD-POL-001-fb119c3ac91e,no,ITM-POL-001-00130,POL-001,123대 국정과제,기술,과학적기후변화감시·예측,DRV-PAR-DOC-POL-001-00828,"ㅇ (과학적기후변화감시·예측) 고해상도한반도기상·기후감시위성(천리안5호) 개발·발사, 1개월∼10년까지예측하는국가기후예측시스템개발",,STR-005,우주항공 및 해양 기술주권 확보,3,,,,,no,reviewed,STR-005,,high,codex_manual_pol001_high_confidence,기후감시위성(천리안5호) 개발·발사가 직접 적시되어 우주항공 기술주권 축으로 본다.
SRD-POL-001-c12bc6c6004d,no,ITM-POL-001-00135,POL-001,123대 국정과제,기술,교권보호및정치기본권확대,DRV-PAR-DOC-POL-001-01818,ㅇ (교권보호및정치기본권확대) 교원의직무특성과학교실정을반영한 민원대응지원및교원의시민으로서의권리보장추진,,STR-015,감염병 대응 및 공중보건 기술 자립,2,,,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,복지·교육·안전망 강화 성격의 일반 정책으로 특정 전략기술 primary를 두지 않는다.
SRD-POL-001-b835bc49eb5d,no,ITM-POL-001-00162,POL-001,123대 국정과제,기술,국제사회논의주도,DRV-PAR-DOC-POL-001-00786,"ㅇ (국제사회논의주도) 감축·적응·그린ODA 분야국제논의주도및지원확대, 한·중·일기후위기대응공조강화, 남북기후·환경협력과제발굴·추진",,STR-015,감염병 대응 및 공중보건 기술 자립,2,,,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,123대 국정과제의 총론·제도·지원 과제로서 15대 전략 primary를 직접 부여하기 어렵다.
SRD-POL-001-8048fd9014db,no,ITM-POL-001-00182,POL-001,123대 국정과제,기술,금융범죄단속강화,DRV-PAR-DOC-POL-001-01210,"ㅇ (금융범죄단속강화) 민생침해금융범죄근절을 위해금융당국·과세 당국·수사기관(검찰, 경찰) 등과강력한합동대응체계구축",,STR-015,감염병 대응 및 공중보건 기술 자립,2,,,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,123대 국정과제의 총론·제도·지원 과제로서 15대 전략 primary를 직접 부여하기 어렵다.
SRD-POL-001-760df814547b,no,ITM-POL-001-00199,POL-001,123대 국정과제,기술,기후공동대응과인도적상황개선을위한협력추진,DRV-PAR-DOC-POL-001-02032,"ㅇ (기후공동대응과인도적상황개선을위한협력추진) 인도적협력은 정치·군사적고려없이일관되게추진, 남북간인도적협력통로복원",,STR-015,감염병 대응 및 공중보건 기술 자립,2,,,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,123대 국정과제의 총론·제도·지원 과제로서 15대 전략 primary를 직접 부여하기 어렵다.
SRD-POL-001-7b78b3d31875,no,ITM-POL-001-00200,POL-001,123대 국정과제,기술,기후위기대응수산혁신,DRV-PAR-DOC-POL-001-01287,"ㅇ (기후위기대응수산혁신) 어획량을관리하는총허용어획량(TAC) 중심 체계로재편하고, 노후어선감척및대체건조지원, 청년어선임대확대",,STR-015,감염병 대응 및 공중보건 기술 자립,2,,,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,123대 국정과제의 총론·제도·지원 과제로서 15대 전략 primary를 직접 부여하기 어렵다.
SRD-POL-001-7b9d00649f22,no,ITM-POL-001-00208,POL-001,123대 국정과제,기술,남북교류관련민-관협업체계,DRV-PAR-DOC-POL-001-02025,"- 남북교류관련민-관협업체계, 중앙정부-지방정부간네트워크를제도화·활성화하고, (사)남북교류협력지원협회의역할강화및기능확대",,STR-004,차세대 네트워크(6G) 및 지능형 인프라,2,,,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,123대 국정과제의 총론·제도·지원 과제로서 15대 전략 primary를 직접 부여하기 어렵다.
SRD-POL-001-2be99885d610,no,ITM-POL-001-00217,POL-001,123대 국정과제,기술,노인·이주민인권보장강화,DRV-PAR-DOC-POL-001-00201,ㅇ (노인·이주민인권보장강화) 노인·이주민인권보장강화를위한실태 조사·정책개선및권리구제통합대응체계구축,,STR-015,감염병 대응 및 공중보건 기술 자립,2,,,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,복지·교육·안전망 강화 성격의 일반 정책으로 특정 전략기술 primary를 두지 않는다.
SRD-POL-001-c698fef34265,no,ITM-POL-001-00220,POL-001,123대 국정과제,기술,녹조피해예방,DRV-PAR-DOC-POL-001-00846,"ㅇ (녹조피해예방) 녹조독소기준신설(’25) 및기준과연계한대응체계개선(조류 경보강화, 예측지점확대등), 하수·가축분뇨방류수수질기준상향",,STR-015,감염병 대응 및 공중보건 기술 자립,2,,,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,123대 국정과제의 총론·제도·지원 과제로서 15대 전략 primary를 직접 부여하기 어렵다.
SRD-POL-001-1cafbd1c7516,no,ITM-POL-001-00229,POL-001,123대 국정과제,기술,다자경제협의체의장국수임을 통해글로벌논의를선도하고재외공관 수출·수주지원네트워크강화를...,DRV-PAR-DOC-POL-001-02136,ㅇ 다자경제협의체의장국수임을 통해글로벌논의를선도하고재외공관 수출·수주지원네트워크강화를 통해국가경제활력제고에기여,,STR-004,차세대 네트워크(6G) 및 지능형 인프라,2,,,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,123대 국정과제의 총론·제도·지원 과제로서 15대 전략 primary를 직접 부여하기 어렵다.
SRD-POL-001-cafff14f3fee,no,ITM-POL-001-00268,POL-001,123대 국정과제,기술,먹거리물가안정,DRV-PAR-DOC-POL-001-01106,"ㅇ (먹거리물가안정) 기후변화대응등농수산물생산·유통전반의수급체계 를개선하고, 적정물량비축등을 통해안정적공급기반마련",,STR-015,감염병 대응 및 공중보건 기술 자립,2,,,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,123대 국정과제의 총론·제도·지원 과제로서 15대 전략 primary를 직접 부여하기 어렵다.
SRD-POL-001-181583c7bc3a,no,ITM-POL-001-00277,POL-001,123대 국정과제,기술,물가관리체계강화,DRV-PAR-DOC-POL-001-01107,"ㅇ (물가관리체계강화) 석유류등서민체감도가높은필수생활비품목에 대한실시간모니터링을강화하고, 신속하고선제적인대응체계구축",,STR-015,감염병 대응 및 공중보건 기술 자립,2,,,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,123대 국정과제의 총론·제도·지원 과제로서 15대 전략 primary를 직접 부여하기 어렵다.
SRD-POL-001-27192b4a2feb,no,ITM-POL-001-00288,POL-001,123대 국정과제,기술,민사적구제·집행확충,DRV-PAR-DOC-POL-001-01184,ㅇ (민사적구제·집행확충) 민사적불공정행위억제수단강화및피해구제 체계의실효성제고,,STR-013,디지털 트윈 및 가상화 공정 혁신,2,,,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,시장질서·법집행·제도정비 과제로서 15대 기술전략 primary를 두기 어렵다.
SRD-POL-001-ea438f97992b,no,ITM-POL-001-00289,POL-001,123대 국정과제,기술,민생침해및금융범죄등다중피해사기대응체계를구축,DRV-PAR-DOC-POL-001-01345,"ㅇ 민생침해및금융범죄등다중피해사기대응체계를구축, 민생경제보호",,STR-015,감염병 대응 및 공중보건 기술 자립,2,,,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,123대 국정과제의 총론·제도·지원 과제로서 15대 전략 primary를 직접 부여하기 어렵다.
SRD-POL-001-c1ebf8db43f6,no,ITM-POL-001-00301,POL-001,123대 국정과제,기술,방산수출기업과중소·벤처기업집중지원을 통해국가안보에기여함과 동시에방위산업을국가경제의...,DRV-PAR-DOC-POL-001-01993,ㅇ 방산수출기업과중소·벤처기업집중지원을 통해국가안보에기여함과 동시에방위산업을국가경제의주력으로육성,,STR-006,탄소중립 및 에너지 안보 (수소·SMR),2,,,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,123대 국정과제의 총론·제도·지원 과제로서 15대 전략 primary를 직접 부여하기 어렵다.
SRD-POL-001-d97cf468e1f4,no,ITM-POL-001-00317,POL-001,123대 국정과제,기술,부패·공익신고자보호강화,DRV-PAR-DOC-POL-001-00328,"ㅇ (부패·공익신고자보호강화) 공익신고대상확대, 보호신청처리공정성제고",,STR-013,디지털 트윈 및 가상화 공정 혁신,2,,,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,123대 국정과제의 총론·제도·지원 과제로서 15대 전략 primary를 직접 부여하기 어렵다.
SRD-POL-001-d5bdfc9ea386,no,ITM-POL-001-00329,POL-001,123대 국정과제,기술,불공정거래로인한소비자·중소기업의피해회복및권익증진을위한기금조성,DRV-PAR-DOC-POL-001-01187,- 불공정거래로인한소비자·중소기업의피해회복및권익증진을위한기금조성,,STR-013,디지털 트윈 및 가상화 공정 혁신,2,,,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,시장질서·법집행·제도정비 과제로서 15대 기술전략 primary를 두기 어렵다.
SRD-POL-001-875086ef40f0,no,ITM-POL-001-00331,POL-001,123대 국정과제,기술,불공정행위에 대한민사적구제확충을 통해소비자·중소기업의권익신장,DRV-PAR-DOC-POL-001-01199,ㅇ 불공정행위에 대한민사적구제확충을 통해소비자·중소기업의권익신장,,STR-013,디지털 트윈 및 가상화 공정 혁신,2,,,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,시장질서·법집행·제도정비 과제로서 15대 기술전략 primary를 두기 어렵다.
SRD-POL-001-91bbd3911b63,no,ITM-POL-001-00343,POL-001,123대 국정과제,기술,사회적고립대응,DRV-PAR-DOC-POL-001-01644,ㅇ (사회적고립대응) 고독사위기대응시스템구축ㆍ운영및일상회복 패키지지원등생애주기별사회적고립(외로움) 대응정책발굴·추진,,STR-015,감염병 대응 및 공중보건 기술 자립,2,,,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,복지·교육·안전망 강화 성격의 일반 정책으로 특정 전략기술 primary를 두지 않는다.
SRD-POL-001-abe2a4d08d7d,no,ITM-POL-001-00344,POL-001,123대 국정과제,기술,사회적고립대응체계강화로일상회복지원및고독사예방,DRV-PAR-DOC-POL-001-01649,ㅇ 사회적고립대응체계강화로일상회복지원및고독사예방,,STR-015,감염병 대응 및 공중보건 기술 자립,2,,,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,복지·교육·안전망 강화 성격의 일반 정책으로 특정 전략기술 primary를 두지 않는다.
SRD-POL-001-b739bab231bb,no,ITM-POL-001-00349,POL-001,123대 국정과제,기술,산림재난총력대응,DRV-PAR-DOC-POL-001-01326,"ㅇ (산림재난총력대응) 산불진화자원·특수진화대확대, 생활권산불안전 공간조성, 산사태취약지사방사업확대, 소나무재선충예찰방제확대및 수종전환활성화등",,STR-015,감염병 대응 및 공중보건 기술 자립,2,,,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,복지·교육·안전망 강화 성격의 일반 정책으로 특정 전략기술 primary를 두지 않는다.
SRD-POL-001-d9968c005b89,no,ITM-POL-001-00389,POL-001,123대 국정과제,기술,수출통제협력,DRV-PAR-DOC-POL-001-00712,"- 수출통제협력, 핵심기술보호, 전략적투자유치, 투자안보심의등철저대응",,STR-006,탄소중립 및 에너지 안보 (수소·SMR),2,STR-015,감염병 대응 및 공중보건 기술 자립,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,경제안보·외교·공급망 거버넌스 성격으로 15대 전략 primary에 직접 귀속하지 않는다.
SRD-POL-001-88ee98575790,no,ITM-POL-001-00420,POL-001,123대 국정과제,기술,아동학대사망사건심층분석체계구축및예방적지원확대,DRV-PAR-DOC-POL-001-01572,"- 아동학대사망사건심층분석체계구축및예방적지원확대, 아동보호 전문기관확충등아동학대대응체계내실화",,STR-015,감염병 대응 및 공중보건 기술 자립,2,,,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,복지·교육·안전망 강화 성격의 일반 정책으로 특정 전략기술 primary를 두지 않는다.
SRD-POL-001-14a2697310ce,no,ITM-POL-001-00424,POL-001,123대 국정과제,기술,안전사고예방및신속대응,DRV-PAR-DOC-POL-001-01974,"- 안전사고예방및신속대응, 장병인권보호강화및성범죄근절대책추진",,STR-015,감염병 대응 및 공중보건 기술 자립,2,,,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,복지·교육·안전망 강화 성격의 일반 정책으로 특정 전략기술 primary를 두지 않는다.
SRD-POL-001-b17adbf49b4d,no,ITM-POL-001-00436,POL-001,123대 국정과제,기술,업무상재해규범적판단명문화,DRV-PAR-DOC-POL-001-01356,"- 업무상재해규범적판단명문화, 업무상질병추정대상확대및기준완화, 산재판정자료공시, 산재판정기구공정성·독립성강화",,STR-013,디지털 트윈 및 가상화 공정 혁신,2,,,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,123대 국정과제의 총론·제도·지원 과제로서 15대 전략 primary를 직접 부여하기 어렵다.
SRD-POL-001-40dcd235177b,no,ITM-POL-001-00450,POL-001,123대 국정과제,기술,외교다변화,DRV-PAR-DOC-POL-001-02118,ㅇ (외교다변화) 국제환경에유연하게대응하기위한외교다변화추진,,STR-015,감염병 대응 및 공중보건 기술 자립,2,,,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,경제안보·외교·공급망 거버넌스 성격으로 15대 전략 primary에 직접 귀속하지 않는다.
SRD-POL-001-9e1e8cdb9eb2,no,ITM-POL-001-00457,POL-001,123대 국정과제,기술,우리외교의역할공간을확대함으로써국제사회와협력의폭과깊이를 심화시키고안보·경제·문화등다...,DRV-PAR-DOC-POL-001-02132,ㅇ 우리외교의역할공간을확대함으로써국제사회와협력의폭과깊이를 심화시키고안보·경제·문화등다방면에서실질적국익신장에기여,,STR-006,탄소중립 및 에너지 안보 (수소·SMR),2,,,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,경제안보·외교·공급망 거버넌스 성격으로 15대 전략 primary에 직접 귀속하지 않는다.
SRD-POL-001-c4956787d186,no,ITM-POL-001-00468,POL-001,123대 국정과제,기술,유출사고신속·엄정대응,DRV-PAR-DOC-POL-001-00487,"ㅇ (유출사고신속·엄정대응) 포렌식랩등기술분석인프라확충, 피해 규모에비례한과징금가중및중대피해발생즉시유출공지의무화",,STR-004,차세대 네트워크(6G) 및 지능형 인프라,2,STR-015,감염병 대응 및 공중보건 기술 자립,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,123대 국정과제의 총론·제도·지원 과제로서 15대 전략 primary를 직접 부여하기 어렵다.
SRD-POL-001-c6fa8d0f98c0,no,ITM-POL-001-00477,POL-001,123대 국정과제,기술,의사의비공개대상을엄격하게규정하는등회의운영의공정성·투명성을 제고하고국민의알권리보장,DRV-PAR-DOC-POL-001-00198,- 의사의비공개대상을엄격하게규정하는등회의운영의공정성·투명성을 제고하고국민의알권리보장,,STR-013,디지털 트윈 및 가상화 공정 혁신,2,,,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,123대 국정과제의 총론·제도·지원 과제로서 15대 전략 primary를 직접 부여하기 어렵다.
SRD-POL-001-4da1b8f6ed55,no,ITM-POL-001-00483,POL-001,123대 국정과제,기술,이행기반강화,DRV-PAR-DOC-POL-001-00782,"ㅇ (이행기반강화) 기후대응기금수입원확충, 예비타당성효과분석시 탄소저감효과반영, 대중교통건설사업등에 대한기후변화영향평가실시",,STR-015,감염병 대응 및 공중보건 기술 자립,2,,,,,no,no_strategy,,,high,codex_manual_pol001_high_confidence,123대 국정과제의 총론·제도·지원 과제로서 15대 전략 primary를 직접 부여하기 어렵다.
