decision_key,active_in_queue,tech_domain_id,tech_domain_label,policy_item_group_id,policy_id,policy_name,resource_category_id,resource_category_label,group_label,group_summary,group_status,source_basis_type,content_count,evidence_count,member_item_count,source_policy_item_ids,primary_strategy_id,primary_strategy_label,primary_tech_subdomain_id,primary_tech_subdomain_label,primary_document_id,primary_location_value,decision_status,reviewed_group_label,reviewed_group_summary,reviewed_group_description,reviewer_name,reviewer_notes
TLR-TD-008-50137b46d117,no,TD-008,첨단로봇제조,PIG-EXP-TD-008-11,POL-001,123대 국정과제,technology,기술,산업AI 전환촉진,"ㅇ (산업AI 전환촉진) 제조기업에AI팩토리전환, 중소기업대상AI바우처등을 지원하고, 서비스업(법률·의료등)의AI 전환지원",auto_expand_curated,technology_lens_expand_batch,1,1,1,ITM-POL-001-00350,STR-013,디지털 트윈 및 가상화 공정 혁신,TSD-008-003,서비스 솔루션,DOC-POL-001,48,revised,산업 AI 전환 촉진,제조기업 AI 팩토리 전환과 중소기업 AI 바우처 지원으로 산업 현장 AI 도입을 확산하는 과제.,,codex_manual_technology_lens_review,첨단제조 축에서 가장 직접적인 산업 AI 전환 과제라 유지한다.
TLR-TD-008-b0a7199c166f,no,TD-008,첨단로봇제조,PIG-EXP-TD-008-12,POL-006,제조AX 추진방향,technology,기술,1단계 R&D('20~'25,"ㅇ 1단계 R&D('20~'25, 1,603억원)에서 개발한 자율운항 시스템을 국내 연안선에 탑재하여 대규모 실증·운항 데이터 확보('26~'29, 300억원)",auto_expand_curated,technology_lens_expand_batch,1,1,1,ITM-POL-006-01398,STR-001,AI G3 도약 및 전 산업 AX 확산,TSD-008-006,제조 데이터,DOC-POL-003,section2,rejected,,,,codex_manual_technology_lens_review,자율운항 선박 실증은 첨단로봇제조보다 해양·모빌리티 성격이 강하다.
TLR-TD-010-3ec90a2c74f3,no,TD-010,양자,PIG-EXP-TD-010-13,POL-007,기초연구 생태계 육성 방안,technology,기술,전략･도전 연구 중추,"ㅇ (전략･도전 연구 중추) 양자과학기술, 합성생물학 등 국내 역량의 전략적 확충이 시급한 첨단 기초과학 분야 중추기관으로 도약",auto_expand_curated,technology_lens_expand_batch,1,1,1,ITM-POL-007-01539,STR-007,양자 정보통신 및 미래소재 선점,TSD-010-004,인프라/생태계,DOC-POL-009,section8,revised,양자과학기술 전략 중추기관 육성,양자과학기술 등 첨단 기초과학 분야의 전략·도전 연구 중추기관을 육성하는 과제.,,codex_manual_technology_lens_review,양자 역량 확충 근거가 분명하지만 범주를 더 분명하게 보이도록 카드 문구를 조정한다.
TLR-TD-012-76d0998377d3,no,TD-012,우주항공,PIG-EXP-TD-012-14,POL-001,123대 국정과제,technology,기술,함정‧ 항공기정보및첨단기술(위성등) 기반광역감시·정보체계(MDA) 구축,- 함정‧ 항공기정보및첨단기술(위성등) 기반광역감시·정보체계(MDA) 구축,auto_expand_curated,technology_lens_expand_batch,1,1,1,ITM-POL-001-00667,STR-005,우주항공 및 해양 기술주권 확보,TSD-012-001,위성,DOC-POL-001,125,revised,위성 기반 광역감시 정보체계 구축,위성 등 첨단기술을 활용한 광역 감시·정보체계를 구축하는 과제.,,codex_manual_technology_lens_review,우주항공 축에서 위성 기반 감시 체계 근거로 직접 읽힌다.
TLR-TD-012-4a0f70917b9b,no,TD-012,우주항공,PIG-EXP-TD-012-15,POL-001,123대 국정과제,technology,기술,우리기술로K-Space 도전,"ㅇ (우리기술로K-Space 도전) 우주과학탐사로드맵* 마련, 대전·전남·경남 우주산업클러스터완성**, 메탄엔진기반재사용발사체개발추진",auto_expand_curated,technology_lens_expand_batch,1,1,1,ITM-POL-001-00455,,,TSD-012-002,발사체,DOC-POL-001,57,approved,,,,codex_manual_technology_lens_review,K-Space 클러스터와 재사용발사체 개발을 직접 다루는 대표 항목이라 그대로 승인한다.
TLR-TD-013-d937ad4b82ee,no,TD-013,해양,PIG-EXP-TD-013-16,POL-001,123대 국정과제,technology,기술,독도등관할해역감시체계역량강화로빈틈없는해양안보태세를구비 하고,"ㅇ 독도등관할해역감시체계역량강화로빈틈없는해양안보태세를구비 하고, 해양보호구역확대등으로청정한바다, 건강한해양생태계보전",auto_expand_curated,technology_lens_expand_batch,1,1,1,ITM-POL-001-00248,STR-005,우주항공 및 해양 기술주권 확보,,,DOC-POL-001,125,revised,관할해역 감시체계 강화,관할해역 감시 역량을 강화해 해양안보를 고도화하고 해양생태계 보전을 병행하는 과제.,,codex_manual_technology_lens_review,해양 안보·감시 인프라 축으로 직접 연결되지만 원문 문장을 카드형으로 정리한다.
TLR-TD-013-d5154b106a4e,no,TD-013,해양,PIG-EXP-TD-013-17,POL-001,123대 국정과제,infrastructure_institutional,인프라·제도,국가해상수송력확충과글로벌허브항만완성으로우리수출입물류를 뒷받침하고,"ㅇ 국가해상수송력확충과글로벌허브항만완성으로우리수출입물류를 뒷받침하고, 글로벌해양강국지위공고화",auto_expand_curated,technology_lens_expand_batch,1,1,1,ITM-POL-001-00731,STR-005,우주항공 및 해양 기술주권 확보,,,DOC-POL-001,96,revised,국가해상수송력·허브항만 확충,국가 해상수송력 확충과 글로벌 허브항만 완성으로 해양 물류 기반을 강화하는 과제.,,codex_manual_technology_lens_review,해양 물류·항만 기반을 직접 다루므로 해양 축에 유지한다.
TLR-TD-014-4c38ed4205e2,no,TD-014,첨단모빌리티,PIG-EXP-TD-014-18,POL-001,123대 국정과제,technology,기술,친환경차·소프트웨어차량(SDV)·AI 자율주행차등미래차혁신생태계조성,- 친환경차·소프트웨어차량(SDV)·AI 자율주행차등미래차혁신생태계조성,auto_expand_curated,technology_lens_expand_batch,1,1,1,ITM-POL-001-00628,STR-009,미래 모빌리티(자율주행·UAM),TSD-014-002,친환경 모빌리티,DOC-POL-001,62,revised,미래차 혁신 생태계 조성,"친환경차, SDV, AI 자율주행차 중심의 미래차 혁신 생태계를 조성하는 과제.",,codex_manual_technology_lens_review,첨단모빌리티 핵심 키워드가 직접 모여 있어 대표 그룹으로 유지한다.
TLR-TD-014-8192cc2ff85b,no,TD-014,첨단모빌리티,PIG-EXP-TD-014-19,POL-001,123대 국정과제,infrastructure_institutional,인프라·제도,전기차·이륜차·개인이동수단(PM) 안전대책마련,"- 전기차·이륜차·개인이동수단(PM) 안전대책마련, 고령운전자안전운행강화, 생활권보행환경종합정비, 자율주행법령제정·주차방해처벌등질서확립",auto_expand_curated,technology_lens_expand_batch,1,1,1,ITM-POL-001-00907,STR-009,미래 모빌리티(자율주행·UAM),,,DOC-POL-001,121,revised,전기차·PM 안전대책 및 자율주행 질서 정비,전기차·이륜차·개인이동수단 안전대책과 자율주행 법·질서 정비를 추진하는 과제.,,codex_manual_technology_lens_review,첨단모빌리티의 제도·안전 축을 대표하는 인프라·제도 그룹으로 유지한다.
TLR-TD-002-32f58df085a6,no,TD-002,에너지,PIG-SEED-TD-002-01,POL-012,초혁신경제 15대 프로젝트 추진계획,technology,기술,초전도체,"ㅇ (초전도체) 고온초전도자석원천기술을고도화하고의료, 에너지, 교통등응용분야를 중심으로실용화기술및프로토타입개발",auto_seed_curated,technology_lens_seed_batch,1,3,1,ITM-POL-012-RV-00001,STR-007,양자 정보통신 및 미래소재 선점,,,DOC-POL-006,4,rejected,,,,codex_manual_technology_lens_review,초전도체는 에너지 응용이 포함되지만 소재·양자 성격이 더 강해 에너지 대표 그룹으로 확정하지 않는다.
TLR-TD-003-3ef8a03e8dca,no,TD-003,이차전지,PIG-SEED-TD-003-02,POL-001,123대 국정과제,technology,기술,3대위기업종(석유화학·철강·이차전지) 특단대책강구,"- 3대위기업종(석유화학·철강·이차전지) 특단대책강구, 산업위기지역패키지지원",auto_seed_curated,technology_lens_seed_batch,1,1,1,ITM-POL-001-00012,STR-002,초격차 전략기술 확보 (반도체·이차전지),,,DOC-POL-001,91,revised,이차전지 위기산업 특단대책,이차전지를 포함한 위기업종 특단대책과 산업위기지역 패키지 지원을 추진하는 과제.,,codex_manual_technology_lens_review,이차전지를 명시한 산업 지원 정책이어서 유지하되 요약을 정제한다.
TLR-TD-004-cc9d6e3bfe9c,no,TD-004,국방,PIG-SEED-TD-004-03,POL-001,123대 국정과제,technology,기술,국방AI 첨단기술활용,"ㅇ (국방AI 첨단기술활용) AI 신속개발·활용을 위해국방데이터관리·보안 체계를개선하고, 맞춤형획득프로세스를마련하며, 인프라투자확대",auto_seed_curated,technology_lens_seed_batch,1,1,1,ITM-POL-001-00157,STR-001,AI G3 도약 및 전 산업 AX 확산,,,DOC-POL-001,175,revised,국방 AI 신속개발·활용,국방 데이터·보안 체계 개선과 맞춤형 획득 프로세스 마련으로 국방 AI 활용을 가속하는 과제.,,codex_manual_technology_lens_review,국방 AI 활용 기반을 직접 설명하는 항목으로 유지한다.
TLR-TD-005-05e9dec21247,no,TD-005,소재,PIG-SEED-TD-005-04,POL-001,123대 국정과제,technology,기술,수소환원제철(철강),"- 수소환원제철(철강), 스페셜티소재(석유화학) 등탄소감축·고부가가치화추진",auto_seed_curated,technology_lens_seed_batch,1,1,1,ITM-POL-001-00386,STR-006,탄소중립 및 에너지 안보 (수소·SMR),TSD-005-003,화학,DOC-POL-001,62,revised,수소환원제철·스페셜티소재 전환,수소환원제철과 스페셜티 소재 중심으로 탄소감축과 고부가가치화를 추진하는 과제.,,codex_manual_technology_lens_review,철강·화학 소재 고도화 맥락이 분명해 소재 기술축에 유지한다.
TLR-TD-006-ad0e627cbfd6,no,TD-006,사이버보안,PIG-SEED-TD-006-05,POL-001,123대 국정과제,technology,기술,디지털보안·안전확보,"ㅇ (디지털보안·안전확보) AI로지능화된사이버위협에효과적대응을 위해정보보호제도개편, AI기반보안시스템구축등추진",auto_seed_curated,technology_lens_seed_batch,1,1,1,ITM-POL-001-00259,STR-001,AI G3 도약 및 전 산업 AX 확산,TSD-006-006,위협·정책 대응,DOC-POL-001,50,approved,,,,codex_manual_technology_lens_review,AI 기반 사이버위협 대응과 정보보호 제도 개편이 직접 연결돼 있어 그대로 승인한다.
TLR-TD-007-966edd842344,no,TD-007,차세대통신,PIG-SEED-TD-007-06,POL-001,123대 국정과제,technology,기술,초지능네트워크구축,ㅇ (초지능네트워크구축) AI에최적화된6세대이동통신(6G) 상용화와 실시간･,auto_seed_curated,technology_lens_seed_batch,1,1,1,ITM-POL-001-00614,STR-004,차세대 네트워크(6G) 및 지능형 인프라,TSD-007-001,차세대 유무선 통신,DOC-POL-001,47,revised,초지능 네트워크 구축,AI에 최적화된 6G 상용화와 초지능 네트워크 인프라 구축을 추진하는 과제.,,codex_manual_technology_lens_review,원문이 잘린 카드라서 대표 라벨과 요약을 복원한다.
TLR-TD-008-3a9a03ff49e9,no,TD-008,첨단로봇제조,PIG-SEED-TD-008-07,POL-001,123대 국정과제,technology,기술,고부가가치서비스업육성,ㅇ (고부가가치서비스업육성) AI를활용한교통·물류·안전등핵심서비스 생산성제고및新서비스발굴과함께제조업등과의산업간융합지원,auto_seed_curated,technology_lens_seed_batch,1,1,1,ITM-POL-001-00106,STR-001,AI G3 도약 및 전 산업 AX 확산,TSD-008-003,서비스 솔루션,DOC-POL-001,65,rejected,,,,codex_manual_technology_lens_review,교통·물류·안전 서비스 생산성 제고는 범용 AI 서비스 과제로 첨단로봇제조 대표 그룹으로는 범위가 너무 넓다.
TLR-TD-010-ffc2d71e979f,no,TD-010,양자,PIG-SEED-TD-010-08,POL-002,AI-바이오 국가전략,technology,기술,양자컴 활용,"□ (양자컴 활용) 양자컴퓨터-슈퍼컴퓨터 하이브리드 시스템을 구축(KISTI, ’25~’28)하고, 이를 활용해 신약 개발, 바이오 분야 등의 난제 해결 지원",auto_seed_curated,technology_lens_seed_batch,1,1,1,ITM-POL-002-01155,STR-003,바이오·헬스 글로벌 중심국가 도약,TSD-010-004,인프라/생태계,DOC-POL-002,section7,revised,양자컴퓨터 하이브리드 활용,양자컴퓨터-슈퍼컴퓨터 하이브리드 시스템을 구축해 신약 개발 등 난제 해결을 지원하는 과제.,,codex_manual_technology_lens_review,바이오 응용 사례를 담고 있지만 양자컴 활용 인프라 자체가 핵심이라 양자 축에 유지한다.
TLR-TD-012-4881777fc9c4,no,TD-012,우주항공,PIG-SEED-TD-012-09,POL-001,123대 국정과제,technology,기술,첨단기술산업기반구축,"ㅇ (첨단기술산업기반구축) AI, 항공엔진, 반도체, 우주, 드론·로봇등첨단 전략분야R&D 및인프라투자를확대하여한국형빅테크기업육성",auto_seed_curated,technology_lens_seed_batch,1,1,1,ITM-POL-001-00599,STR-008,피지컬 AI 및 지능형 로봇 산업 육성,,,DOC-POL-001,179,rejected,,,,codex_manual_technology_lens_review,AI·항공엔진·반도체·우주·드론·로봇이 결합된 범분야 산업 총론이라 우주항공 대표 그룹으로 확정하지 않는다.
TLR-TD-013-08a589cbabe1,no,TD-013,해양,PIG-SEED-TD-013-10,POL-001,123대 국정과제,technology,기술,산업경쟁력강화,"ㅇ (산업경쟁력강화) 차세대태양전지조기상용화, 해상풍력터빈·부품·기자재기술개발, 설치선건조및전용항만설치",auto_seed_curated,technology_lens_seed_batch,1,1,1,ITM-POL-001-00351,STR-006,탄소중립 및 에너지 안보 (수소·SMR),,,DOC-POL-001,74,revised,해상풍력 설치선·전용항만 기반 강화,"해상풍력 기자재 기술개발과 설치선 건조, 전용항만 설치를 추진하는 과제.",,codex_manual_technology_lens_review,복합 문장 중 해상풍력 설치선·전용항만 부분을 해양 산업기반 대표 근거로 남긴다.
TLR-TD-014-34e8cd14b230,no,TD-014,첨단모빌리티,PIG-SEED-TD-014-11,POL-001,123대 국정과제,technology,기술,자율주행실현,"- (자율주행실현) 레벨4 자율차출시및대중교통등공공서비스활용, 자율주행AI 학습센터등인프라구축, E2E 차세대모델기술개발",auto_seed_curated,technology_lens_seed_batch,1,1,1,ITM-POL-001-00503,STR-009,미래 모빌리티(자율주행·UAM),TSD-014-003,모빌리티 인프라,DOC-POL-001,63,approved,,,,codex_manual_technology_lens_review,레벨4 자율차 출시와 자율주행 AI 인프라 구축을 직접 설명하는 대표 정책이어서 그대로 승인한다.
