review_item_id,document_id,source_format,page_no,candidate_source,candidate_id,rows,cols,preview_text,suggested_class,heuristic_reason,keep_for_dashboard,merge_group_hint,canonical_table_id,review_status,reviewer_notes,treat_as_char,text_wrap
TRV-DOC-BMK-006-MD-011,DOC-BMK-006,pdf,42,pymupdf4llm_markdown,PAR-DOC-BMK-006-00151,4,3,"|〇都市間・分野間のデータの相互接続性<br>やシステムの拡張性が保たれるよう<br>「スマートシティリファレンスアー<br>キテクチャ」を参照しつつ各地域にお<br>ける都市ＯＳ（データ連携基盤）の実<br>装を加速化する。また、ゼロカーボン<br>シティを表明した地方公共団体等に<br>おいて、多種多様なビッグデータを用<br>いた気候変動対策が行われるよう、ゼ<br>ロカーボンシティの取組の進展に資<br>する支援を2021 年度から開始する。<br>【科技、総、文、農、経、国、環】|・令和６年度は関係府省合同でスマー<br>トシティ関連事業に関わる合同審査<br>会を開催し、実施地域を34 地域（36<br>事業）選定。<br>・ゼロカーボンシティの取組の進展に<br>資する支援を実施。ゼロカーボンシテ<br>ィ数：1,161 地方公共団体（令和６年<br>度時点）。|・「スマートシティリファレンスアーキ<br>テクチャ（ホワイトペーパー）」、「ス<br>マートシティガイドブック」の普及・<br>浸透を図り、全国の地方公共団体や地<br>域における都市ＯＳ実装、スマートシ<br>ティ化を推進。【科技、総、文、農、経、<br>国、環、デジ】<br>・地域の脱炭素化に向けた計画策定支<br>援等のゼロカーボンシティの取組の<br>進展に資する支援を継続。【環】|",structured_table,markdown_table_detected,yes,PAGE-42,,review_required,,,
TRV-DOC-BMK-006-MD-012,DOC-BMK-006,pdf,43,pymupdf4llm_markdown,PAR-DOC-BMK-006-00152,2,3,|Col1|テム戦略実現技術開発・社会実装促進<br>事業」等の各種取組を後押しするため<br>の予算を確保。<br>・環境負荷低減に資する研究開発や機<br>械・資材の販売等を行う88 の事業者<br>の取組を認定（令和６年度時点）。化<br>学肥料・化学農薬の低減に資する農業<br>機械82 機種が環境負荷低減事業活動<br>用資産等の特別償却制度の対象。<br>・みどりの食料システム戦略をアジア<br>モンスーン地域の持続的な食料シス<br>テムの取組モデルとして、令和６年の<br>G７・G20 農業大臣会合等で紹介。<br>・米国等の進めるＡＩＭ for Climate 等<br>の国際イニシアティブに参画し、令和<br>６年11 月に同サミットへ参加。<br>・アジアモンスーン地域への我が国が<br>有する農業技術の普及に向けた取組<br>として、国際科学諮問委員会の助言等<br>を踏まえ、同地域で展開可能な技術を<br>掲載した技術カタログver.3 の公表や<br>国際会議等での情報発信、現地実証研<br>究を実施。<br>・ＣＧＩＡＲ各研究センターと連携し、<br>持続可能な食料システムの構築に資<br>する農業栽培技術の開発を推進。令和<br>６年度からはＧＨＧ測定のための基<br>盤整備及びトレーニング体制の整備<br>の推進を開始。<br>・水田メタン排出削減技術と二国間ク<br>レジット制度を組み合わせた取組の<br>促進のための具体的手法（方法論）に<br>係る議論を進め、令和６年6 月、フィ<br>リピンにおける方法論を作成・公表、<br>令和７年２月承認。<br>・「日ＡＳＥＡＮみどり協力プラン」に<br>基づき、我が国が持つ技術を活用して<br>ＡＳＥＡＮ各国において協力プロジ<br>ェクトを推進。<br>・東南アジアの小規模農家のための経<br>済性を備えた温室効果ガス排出削減<br>技術の開発を推進。令和６年度には現<br>地でのほ場試験を開始。<br>・海外の農業研究機関の優れた知見や<br>研究材料を活用し、世界の先端技術や<br>情報の積極的な導入により、我が国の<br>農林水産業の発展につながる国際共<br>同研究を実施。<br>・未利用のパームバイオマスから高付<br>加価値な資源を低コストで生産する<br>次世代バイオマスアップサイクル技<br>術について、現地で利用可能な有用微<br>生物、経済的実現性及び技術優位性に<br>係るＦＳ調査を実施。|ＧＨＧ排出削減技術海外展開パッケ<br>ージ」を取りまとめる。【農】<br>・我が国から戦略を国際会議等におい<br>て提唱。【農、関係府省】<br>・国際イニシアティブや国際会議に参<br>加し、気候変動関連の研究開発につい<br>て各国との連携・協力を継続。【農、関<br>係府省】<br>・同委員会の助言を受け、アジアモンス<br>ーン地域に応用可能な技術情報の収<br>集・分析・発信や現地実証研究を行い、<br>技術の実装を促進。【農、関係府省】<br>・ＣＧＩＡＲ各研究センターと連携し<br>た持続可能な食料システムの構築に<br>資する農業栽培技術の開発を推進。<br>【農、関係府省】<br>・フィリピンにおいて、承認された方法<br>論に基づく民間プロジェクトの承認<br>手続を進め、着実にプロジェクトが進<br>むよう取り組むとともに、他国への展<br>開を推進。【農、関係府省】<br>・各国での進捗状況や各国の意向等を<br>踏まえ、令和７年開催の日ＡＳＥＡＮ<br>農林大臣会合において、本プランを改<br>定し、新規プロジェクトを追加。【農、<br>関係府省】<br>・東南アジアで、小規模農家に経済性を<br>備えた温室効果ガスの排出削減技術<br>の開発を推進。【農、関係府省】<br>・我が国の農林水産業の発展につなが<br>る国際共同研究を米国、ドイツ等との<br>間で推進。【農、関係府省】<br>・ＦＳ調査を踏まえ、次世代バイオマス<br>アップサイクル技術の国際展開のた<br>めの研究を開始。【農、関係府省】|,review_required,needs_manual_review,review,PAGE-43,,review_required,,,
TRV-DOC-BMK-006-MD-013,DOC-BMK-006,pdf,45,pymupdf4llm_markdown,PAR-DOC-BMK-006-00165,3,3,|Col1|施体制を決定し基盤技術の開発を開<br>始。<br>・「サーキュラーパートナーズ（ＣＰ<br>ｓ）」を立ち上げ、約650 者の会員が<br>参画（令和６年度時点）。３つのワー<br>キンググループ（①ビジョン・ロード<br>マップ検討ＷＧ、②サーキュラーエコ<br>ノミー情報流通プラットフォーム構<br>築ＷＧ、③地域循環モデル構築ＷＧ）<br>で検討を実施。製品・素材ごとの課題<br>の抽出、資源循環のロードマップの策<br>定等に向けて議論。<br>・ＧＸの実現にも資する資源循環を強<br>化していくために、「脱炭素成長型経<br>済構造への円滑な移行の推進に関す<br>る法律及び資源の有効な利用の促進<br>に関する法律の一部を改正する法律<br>案」を閣議決定。<br>・ＳＩＰ第３期課題「サーキュラーエコ<br>ノミーシステムの構築」において、プ<br>ラスチックの循環経済バリューチェ<br>ーン構築を目指して研究開発を実施。<br>・資源の有効利用に資するコンクリー<br>ト材料等の技術的検証等を実施。<br>・再生骨材を積雪寒冷地等でも使用可<br>能とするための現行評価試験の見直<br>しに係る検討を行い、ＪＩＳ規格に反<br>映。<br>・環境負荷低減系コンクリートの耐久<br>性確保を目的に、表面保護に用いる仕<br>上材に着目。当該コンクリートの耐久<br>性を評価するための調査・試験を実<br>施。|術を開発し、スケールアップに向けて<br>試作機の試運転等を実施。【経】<br>・ＣＰｓにおいて製品・素材ごとのビジ<br>ョン・ロードマップの策定や令和７年<br>度に「サーキュラーエコノミー情報流<br>通プラットフォーム」の一部立ち上<br>げ、「地域循環モデル」の実装等、循環<br>経済の実現に必要となる施策を産学<br>官で連携して実施する。【経、環】<br>・資源の有効な利用の促進に関する法<br>律の改正を通して、国内における再生<br>材の需要と供給を喚起し、それらが循<br>環する仕組みを構築する制度を整備。<br>【経】<br>・動脈産業と静脈産業が連携して、経済<br>合理性に裏付けられたプラスチック<br>の循環経済バリューチェーンとビジ<br>ネスモデルの社会実装に向けた研究<br>開発を推進。【科技、関係府省】<br>・再生骨材の利用拡大の検討を実施。<br>【国】<br>・コンクリート由来のリサイクル材料<br>全般を新たなコンクリート用の骨材<br>として利用する際の評価項目・指標の<br>明確化に向けた検討を実施。【国】<br>・環境負荷低減系コンクリートの建築<br>物への利用拡大に向けた検討を実施。<br>【国】|,structured_table,markdown_table_detected,yes,PAGE-45,,review_required,,,
TRV-DOC-BMK-006-MD-014,DOC-BMK-006,pdf,46,pymupdf4llm_markdown,PAR-DOC-BMK-006-00166,2,3,|Col1|・各地方整備局等の現場で低炭素型コ<br>ンクリートの試行を実施。<br>・電動建機を認定対象とした「ＧＸ建設<br>機械認定制度」に基づき、令和６年４<br>月に電動ホイールクレーンを新規に<br>認定。<br>・直轄工事で建設機械の稼働データを<br>活用した試行工事を実施。<br>・航路標識光源の高輝度ＬＥＤ化と電<br>源の太陽電池化（自立型電源化）を推<br>進。一部光源には光度問題の改善のた<br>め新たなＬＥＤ光源の実用化を計画。<br>・下水処理場等における温室効果ガス<br>排出削減に関する調査研究及び技術<br>実証を実施。|・製造時のコンクリート内ＣＯ 量の評<br>２<br>価手法を確立するとともに、グリーン<br>イノベーション基金事業等で開発し<br>た技術について、国の直轄工事等にお<br>いて試行的適用を進め、今後、技術基<br>準等に反映しながら現場実装につな<br>げる。【経】<br>・ＧＸ建設機械認定制度で認定機種拡<br>大に加えて令和12 年度をめどに将来<br>的な電費基準を設定し電動建機の普<br>及を推進。対象機種拡大に合わせたマ<br>ニュアル類の改定、追加等を実施。<br>【国】<br>・直轄工事での現場実証を踏まえ、要領<br>案の作成を実施。【国】<br>・令和12 年度をめどに計画対象の航路<br>標識のＬＥＤ化率 100％を目指すと<br>ともに新たなＬＥＤ光源を実用化し、<br>航路標識に太陽光発電導入を推進。<br>【国】<br>・下水処理場等における温室効果ガス<br>排出削減に関する調査研究及び技術<br>実証・導入を推進。【国】|,review_required,needs_manual_review,review,PAGE-46,,review_required,,,
TRV-DOC-BMK-006-MD-015,DOC-BMK-006,pdf,47,pymupdf4llm_markdown,PAR-DOC-BMK-006-00173,2,3,|基本計画における具体的な取組|実施状況・現状分析|今後の取組方針|,review_required,needs_manual_review,review,PAGE-47,,review_required,,,
TRV-DOC-BMK-006-MD-016,DOC-BMK-006,pdf,49,pymupdf4llm_markdown,PAR-DOC-BMK-006-00184,2,3,|を進める。その際、グローバルな視点<br>とともに社会実装を意識した「地域」<br>の視点も重要であることから、地域の<br>脱炭素化に向けた取組を支える分野<br>横断的な研究開発を推進するととも<br>に、三つの移行を統合的に具現化する<br>「地域循環共生圏（ローカルＳＤＧ<br>ｓ）」の創造を目指す。【文、経、環】|素等の環境政策の推進を背景に経済<br>社会構造が大きく変化する３地域を<br>対象に、地域循環共生圏の考え方に基<br>づき、環境を軸とした新規事業創出等<br>の地域の主体的な取組を支援。<br>・脱炭素と地域課題の解決を同時に実<br>現するモデルとなる脱炭素先行地域<br>を81 地域選定し、地域脱炭素推進交<br>付金で支援を実施。このうち官民連携<br>により民間事業者が益する自営線マ<br>イクログリッドを構築する提案かつ<br>温室効果ガス排出削減効果の高い再<br>生可能エネルギー・省エネルギー・蓄<br>エネルギー設備等の導入を行う提案<br>として25 地域が含まれている（令和<br>６年度時点）。全国で重点的に導入促<br>進を図る屋根置き太陽光発電、ＺＥ<br>Ｂ・ＺＥＨ等の重点対策加速化事業に<br>おいて、これまで 148 自治体を選定<br>し、地域脱炭素推進交付金で支援を実<br>施。<br>・株式会社脱炭素化支援機構により、脱<br>炭素に資する多様な事業への民間投<br>資の呼び水となる投融資（リスクマネ<br>ー供給）等を実施し、同機構は創設か<br>ら累積で35 件支援決定を公表。（令和<br>６年度時点）<br>・再生可能エネルギー由来電力を安全・<br>安定に貯蔵できる亜鉛空気電池や、地<br>域資源等を有効活用した低コストな<br>メタネーション等の技術開発・実証を<br>民間企業や自治体等と連携し実施。<br>・炭素中立型の経済社会に向けて地域<br>における将来目標設定や計画策定等<br>に必要な科学的知見創出に係る分野<br>横断的な研究開発を推進。大学、自治<br>体、企業等が参画する「カーボンニュ<br>ートラル達成に貢献する大学等コア<br>リション」を推進。<br>・「熱中症対策実行計画」に掲げる中期<br>的な目標達成に向けて、産学官連携に<br>より、地域の熱中症リスクを効果的に<br>把握することのできる技術や、熱中症<br>警戒情報及び熱中症特別警戒情報を<br>効果的に伝達し、熱中症予防行動を促<br>進するための技術等の研究開発及び<br>その実装を推進。<br>・同計画に基づき、関係府省庁間及び地<br>方公共団体その他関係機関との連携<br>を強化し、集中的かつ計画的に熱中症<br>対策を推進。|・地域循環共生圏づくりの中間支援機<br>能を担える人材・組織の育成、トラン<br>ジションモデル構築を行い、地域循環<br>共生圏の創造を推進。【環】<br>・令和７年度までに少なくとも 100 地<br>域の脱炭素先行地域を選定し、令和<br>12 年までに取組を実現するべく、令<br>和６年度までに 81 箇所で取組を実<br>施。【環】<br>・地域脱炭素推進交付金による支援を<br>通じて地方公共団体が主導する脱炭<br>先行地域の実現及び重点対策の全国<br>実施を図るとともに、地域における脱<br>炭素の基盤の構築等を図り取組の加<br>速化・全国展開につなげる。また、排<br>出削減効果の高い主要な脱炭素製品・<br>技術の地域での実装を促進する。【地<br>創、総、農、経、国、環】<br>・同機構に対して、脱炭素投融資の財源<br>として、令和７年度に財政投融資と政<br>府保証を合わせて最大 600 億円を予<br>算措置。さらに、投融資を行い、経済<br>社会の発展や地方創生、知見の集積や<br>人材育成等、新たな価値の創造に貢<br>献。【地創、総、農、経、国、環】<br>・地域資源を活用し、かつ、民間企業や<br>自治体等の多様なステークホルダー<br>と協働した、ＣＯ 排出量の大幅な削<br>2<br>減に貢献する技術開発・実証事業を実<br>施。【環】<br>・カーボンニュートラルに向けた知見<br>創出及び大学等間ネットワークを推<br>進。【文、経、環】<br>・「熱中症対策実行計画」に掲げる中期<br>的な目標達成に向けて、同取組を継<br>続。【環、関係府省】<br>・同対策を推進。【環、関係府省】|,review_required,needs_manual_review,review,PAGE-49,,review_required,,,
TRV-DOC-BMK-006-MD-017,DOC-BMK-006,pdf,51,pymupdf4llm_markdown,PAR-DOC-BMK-006-00201,2,3,|Col1|ａＮ基板を用いることで高効率化し、<br>省エネルギー効果を実証。<br>・資源制約の緩和、革新的マテリアル等<br>の観点から経済安全保障に資する技<br>術を含め、民間の自主的な取組だけで<br>は十分に進まないＣＯ 排出削減効果<br>2<br>の高い技術の開発・実証に対する支援<br>を実施。<br>・潮流発電機の改造や設置工事（海洋工<br>事）、発電のための電気供給手続や低<br>コスト化のための情報収集・分析等を<br>実施。|・経済安全保障に資する技術を含め、民<br>間の自主的な取組だけでは十分に進<br>まないＣＯ 排出削減効果の高い技術<br>2<br>の開発・実証を継続し、社会実装を推<br>進。【環】<br>・潮流発電の実用化・普及に向けて、技<br>術課題の対策検討や実証試験の実施<br>とともに、ビジネスモデル検討を推<br>進。【環】|,review_required,needs_manual_review,review,PAGE-51,,review_required,,,
TRV-DOC-BMK-006-MD-018,DOC-BMK-006,pdf,52,pymupdf4llm_markdown,PAR-DOC-BMK-006-00203,2,3,|Col1|・デコ活の官民連携プロジェクトとの<br>連動等によりナッジ活用を推進し、国<br>民の行動変容を促進。<br>・温室効果ガス削減目標を実現するた<br>めに必要な方策・道筋を示す「くらし<br>の10 年ロードマップ」の進捗把握の<br>ため、消費者の取組実施状況に関する<br>アンケートを実施。<br>・ＺＥＨ、ＺＥＨ－Ｍの新築に対する補<br>助事業を通じて、ＨＥＭＳやＶ2Ｈ60<br>等の先進技術の普及促進に貢献。<br>・ＺＥＢの新築及び既存改修に対する<br>補助事業を実施し、ＢＥＭＳを含めた<br>先進のビル省エネ技術や創蓄連携技<br>術の普及促進に貢献。<br>・学校施設のＺＥＢ化の基本的な考え<br>方等を提示するなど、学校施設のＺＥ<br>Ｂ化を推進。大学キャンパスにおいて<br>ＺＥＢの先導モデルの構築等を進め<br>るとともに、他大学や地域への横展開<br>を実施するため、令和７年１月に事例<br>集を取りまとめた。これらを通じ、地<br>域における脱炭素の先導的役割を果<br>たし、地域にイノベーションを創出。<br>・ＺＥＨ及びＺＥＢを始めとする住宅・<br>建築物の脱炭素化に資する断熱窓、並<br>びに高効率空調、照明等の価格低減に<br>よる産業競争力強化等を目的とし、こ<br>れらの導入支援を実施。<br>・関連産業の産業競争力強化及び経済<br>成長並びに温室効果ガスの排出削減<br>を目的とし、新築住宅に関しては、Ｚ<br>ＥＨ基準の水準を大きく上回る省エ<br>ネルギー性能を有する住宅（ＧＸ志向<br>型住宅）の新築に対する支援事業を令<br>和６年度補正予算において創設。<br>・住宅の改修に関しては、各省連携の下<br>で複数の省庁にまたがる支援制度の<br>統一窓口を設けワンストップで各支<br>援制度を活用可能とすることで、省エ<br>ネ改修に係る行動変容を促進。<br>・ＳＩＰ第３期課題「スマートエネルギ<br>ーマネジメントシステムの構築」にお<br>いて、再生可能エネルギーを主力源と<br>して、エネルギーマネジメントの高度<br>化に関する研究開発を実施。|・官民連携プロジェクトにナッジを連<br>携させることで行動変容を促進。【環】<br>・一人一人に合ったライフスタイルを<br>提案することで気付きを与えて「自分<br>ごと化」してもらうとともに、環境配<br>慮行動に対して同ポイント等の金銭<br>的、非金銭的インセンティブの付与と<br>連動するなど、ナッジの活用を促進。<br>【環】<br>・同普及促進を継続。【環】<br>・先進のビル省エネ技術や創蓄連携技<br>術の普及促進を支援するとともに、建<br>築物ライフサイクルを通じた省ＣＯ<br>２<br>の先進取組も継続。【環】<br>・学校施設のＺＥＢ化推進のため、ＺＥ<br>Ｂ化実現手法やＺＥＢ化の推進方策<br>について示した報告書の周知を図る<br>とともに、大学キャンパスにおけるＺ<br>ＥＢの先導モデルの構築等を更に推<br>進し、事例集の周知等により他大学や<br>地域への横展開を実施。【文】<br>・住宅・建築物の脱炭素化に資する断熱<br>窓並びに高効率空調、照明等の価格低<br>減による産業競争力強化等を目的と<br>し、これらの導入支援を継続。【環】<br>・ＧＸ志向型住宅の導入により、関連産<br>業の産業競争力強化及び経済成長並<br>びに温室効果ガスの排出削減の実現<br>を図る。【環】<br>・住宅の改修に関する支援制度を活用<br>しやすい形で継続することで行動変<br>容を促進。【経、国、環】<br>・再生可能エネルギーを主力源にする<br>ため、熱・水素・合成燃料も包含する<br>クロスボーダー・セクター横断ＥＭＳ<br>の構築を目指し、社会実装に向けた研<br>究開発を推進。【科技、関係府省】|,review_required,needs_manual_review,review,PAGE-52,,review_required,,,
TRV-DOC-BMK-006-MD-019,DOC-BMK-006,pdf,53,pymupdf4llm_markdown,PAR-DOC-BMK-006-00204,2,3,|環経済」への移行を加速化する。【経、<br>環】|る省ＣＯ 型設備の導入支援を実施。<br>２<br>廃棄物処理における省ＣＯ に資する<br>２<br>地域資源活用等の技術実証を実施。<br>・プラスチック等の化石資源由来素材<br>の「再生可能資源への転換のための省<br>ＣＯ 型生産インフラ技術」、「リサイ<br>２<br>クルプロセス構築・省ＣＯ 化」に係<br>２<br>る社会実装に向けた実証事業を実施。<br>・自動車リサイクルにおける再生材供<br>給拡大に向けた産官学連携推進事業<br>を実施。<br>・海洋表層マイクロプラスチック等の<br>モニタリングデータを収集・一元化す<br>るためのデータベースシステムを構<br>築し、運用を開始。<br>・マイクロプラスチックを含む海洋等<br>のプラスチックごみによる生物・生態<br>系影響（リスク評価手法含む。）やそ<br>の発生源・発生量・流出経路等の実態<br>把握に向けた研究支援等を実施。|・「再資源化事業等高度化法」に基づく<br>認定制度等を通じて、高度な再資源化<br>事業の創出を着実に推進。【環】<br>・再生可能資源への転換・社会実装、再<br>生可能エネルギー関連製品やベース<br>素材の省ＣＯ 型のリサイクル技術向<br>２<br>上、未利用資源の活用体制構築や、従<br>来リサイクルが困難であった複合素<br>材プラスチック・再生可能エネルギー<br>関連製品・金属資源等のリサイクル等<br>に関する高度な省ＣＯ 型設備の導入<br>２<br>支援を推進。【環】<br>・資源循環設備や、革新的ＧＸ製品の生<br>産に不可欠な高品質再生品を供給す<br>るリサイクル設備等への投資により、<br>循環経済への移行と資源循環分野の<br>脱炭素化の両立を推進する実証や導<br>入支援を実施。【環】<br>・産官学連携による調査等の実施や、自<br>動車解体由来のプラスチック部品の<br>破砕設備・分析装置の導入支援等によ<br>り、国内における再生材市場構築を推<br>進。【環】<br>・海洋表層マイクロプラスチック等の<br>分布状況等の情報を利活用・整備して<br>いくため、データベースシステムの更<br>なる利用促進を図る。【環】<br>・研究支援、調査・検討（リモートセン<br>シング等を活用した調査効率化を含<br>む。）を実施し、科学的知見の集積を<br>推進。【環】|,review_required,needs_manual_review,review,PAGE-53,,review_required,,,
TRV-DOC-BMK-006-MD-020,DOC-BMK-006,pdf,54,pymupdf4llm_markdown,PAR-DOC-BMK-006-00214,2,3,|基本計画における具体的な取組|実施状況・現状分析|今後の取組方針|,review_required,needs_manual_review,review,PAGE-54,,review_required,,,
TRV-DOC-BMK-006-MD-021,DOC-BMK-006,pdf,57,pymupdf4llm_markdown,PAR-DOC-BMK-006-00231,2,3,|基本計画における具体的な取組|実施状況・現状分析|今後の取組方針|,review_required,needs_manual_review,review,PAGE-57,,review_required,,,
TRV-DOC-BMK-006-MD-022,DOC-BMK-006,pdf,60,pymupdf4llm_markdown,PAR-DOC-BMK-006-00267,2,3,|基本計画における具体的な取組|実施状況・現状分析|今後の取組方針|,review_required,needs_manual_review,review,PAGE-60,,review_required,,,
TRV-DOC-BMK-006-MD-023,DOC-BMK-006,pdf,61,pymupdf4llm_markdown,PAR-DOC-BMK-006-00269,2,3,|Col1|・全国道路施設点検データベースとＡ<br>ＰＩ連携したアプリ開発を実施。<br>・「国土地盤情報データベース」を通じ<br>て、自治体が所有する約51 万本（令<br>和６年度時点）の地盤ボーリングデー<br>タをオープンデータとして公開。<br>・上下水道施設のメンテナンスの高度<br>化・効率化を推進するため、「上下水<br>道ＤＸ技術カタログ」を令和７年３月<br>に公表。|・全国道路施設点検データベースを活<br>用し、当該取組等による道路管理の効<br>率化・高度化を推進。【国】<br>・全国で官民が所有する地盤のボーリ<br>ングデータの収集・公表を推進すると<br>ともに、これらの情報を反映させた、<br>より実態に即した全国の液状化リス<br>ク情報を順次整備。【国】<br>・「上下水道ＤＸ技術カタログ」等を活<br>用し、全国の上下水道において、今後<br>3年程度でＤＸ技術を標準実装できる<br>よう取組を推進。【国】|,review_required,needs_manual_review,review,PAGE-61,,review_required,,,
TRV-DOC-BMK-006-MD-024,DOC-BMK-006,pdf,61,pymupdf4llm_markdown,PAR-DOC-BMK-006-00270,2,3,|基本計画における具体的な取組|実施状況・現状分析|今後の取組方針|,review_required,needs_manual_review,review,PAGE-61,,review_required,,,
TRV-DOC-BMK-006-MD-025,DOC-BMK-006,pdf,62,pymupdf4llm_markdown,PAR-DOC-BMK-006-00273,2,3,|基本計画における具体的な取組|実施状況・現状分析|今後の取組方針|,review_required,needs_manual_review,review,PAGE-62,,review_required,,,
TRV-DOC-BMK-006-MD-026,DOC-BMK-006,pdf,62,pymupdf4llm_markdown,PAR-DOC-BMK-006-00274,2,3,|基本計画における具体的な取組|実施状況・現状分析|今後の取組方針|,review_required,needs_manual_review,review,PAGE-62,,review_required,,,
TRV-DOC-BMK-006-MD-027,DOC-BMK-006,pdf,63,pymupdf4llm_markdown,PAR-DOC-BMK-006-00280,4,3,|基本計画における具体的な取組|実施状況・現状分析|今後の取組方針|,structured_table,markdown_table_detected,yes,PAGE-63,,review_required,,,
