decision_key,decision_status,resolved_group_id,applied_status,applied_group_status,applied_group_label,reviewer_name,reviewer_notes
TLR-TD-014-8192cc2ff85b,revised,PIG-EXP-TD-014-19,applied,reviewed_curated,전기차·PM 안전대책 및 자율주행 질서 정비,codex_manual_technology_lens_review,첨단모빌리티의 제도·안전 축을 대표하는 인프라·제도 그룹으로 유지한다.
TLR-TD-002-32f58df085a6,rejected,PIG-SEED-TD-002-01,applied,review_rejected,초전도체,codex_manual_technology_lens_review,초전도체는 에너지 응용이 포함되지만 소재·양자 성격이 더 강해 에너지 대표 그룹으로 확정하지 않는다.
TLR-TD-003-3ef8a03e8dca,revised,PIG-SEED-TD-003-02,applied,reviewed_curated,이차전지 위기산업 특단대책,codex_manual_technology_lens_review,이차전지를 명시한 산업 지원 정책이어서 유지하되 요약을 정제한다.
TLR-TD-004-cc9d6e3bfe9c,revised,PIG-SEED-TD-004-03,applied,reviewed_curated,국방 AI 신속개발·활용,codex_manual_technology_lens_review,국방 AI 활용 기반을 직접 설명하는 항목으로 유지한다.
TLR-TD-005-05e9dec21247,revised,PIG-SEED-TD-005-04,applied,reviewed_curated,수소환원제철·스페셜티소재 전환,codex_manual_technology_lens_review,철강·화학 소재 고도화 맥락이 분명해 소재 기술축에 유지한다.
TLR-TD-006-ad0e627cbfd6,approved,PIG-SEED-TD-006-05,applied,reviewed_curated,디지털보안·안전확보,codex_manual_technology_lens_review,AI 기반 사이버위협 대응과 정보보호 제도 개편이 직접 연결돼 있어 그대로 승인한다.
TLR-TD-007-966edd842344,revised,PIG-SEED-TD-007-06,applied,reviewed_curated,초지능 네트워크 구축,codex_manual_technology_lens_review,원문이 잘린 카드라서 대표 라벨과 요약을 복원한다.
TLR-TD-008-3a9a03ff49e9,rejected,PIG-SEED-TD-008-07,applied,review_rejected,고부가가치서비스업육성,codex_manual_technology_lens_review,교통·물류·안전 서비스 생산성 제고는 범용 AI 서비스 과제로 첨단로봇제조 대표 그룹으로는 범위가 너무 넓다.
TLR-TD-010-ffc2d71e979f,revised,PIG-SEED-TD-010-08,applied,reviewed_curated,양자컴퓨터 하이브리드 활용,codex_manual_technology_lens_review,바이오 응용 사례를 담고 있지만 양자컴 활용 인프라 자체가 핵심이라 양자 축에 유지한다.
TLR-TD-012-4881777fc9c4,rejected,PIG-SEED-TD-012-09,applied,review_rejected,첨단기술산업기반구축,codex_manual_technology_lens_review,AI·항공엔진·반도체·우주·드론·로봇이 결합된 범분야 산업 총론이라 우주항공 대표 그룹으로 확정하지 않는다.
TLR-TD-013-08a589cbabe1,revised,PIG-SEED-TD-013-10,applied,reviewed_curated,해상풍력 설치선·전용항만 기반 강화,codex_manual_technology_lens_review,복합 문장 중 해상풍력 설치선·전용항만 부분을 해양 산업기반 대표 근거로 남긴다.
TLR-TD-014-34e8cd14b230,approved,PIG-SEED-TD-014-11,applied,reviewed_curated,자율주행실현,codex_manual_technology_lens_review,레벨4 자율차 출시와 자율주행 AI 인프라 구축을 직접 설명하는 대표 정책이어서 그대로 승인한다.
